Date,AQI,NO,NO2,NOX,PM10,PM2.5,RH,Temp ,WS
2017-05-10,0.0,0.0,0.0,0.0,8.845833333333333,0.0,83.30416666666666,16.083333333333332,1.3625
2017-05-11,0.0,0.0,0.0,0.0,13.945833333333331,0.0,87.06666666666666,18.25,2.6999999999999997
2017-05-12,0.0,0.0,0.0,0.0,4.558333333333334,0.0,84.82083333333334,15.958333333333334,3.483333333333333
2017-05-13,0.0,0.0,0.0,0.0,11.737499999999999,0.0,65.15416666666668,12.333333333333334,2.5375
2017-05-14,0.0,0.0,0.0,0.0,19.175,0.0,79.725,10.833333333333334,1.4166666666666667
2017-05-15,0.0,0.0,0.0,0.0,12.566666666666665,0.0,78.57083333333331,12.875,0.9125
2017-05-16,0.0,0.0,0.0,0.0,11.695833333333331,0.0,77.72916666666666,13.708333333333334,1.4083333333333334
2017-05-17,0.0,0.0,0.0,0.0,11.825000000000001,0.0,84.35000000000001,17.25,3.458333333333334
2017-05-18,0.0,0.0,0.0,0.0,19.433333333333337,0.0,75.19166666666668,16.166666666666668,3.8541666666666665
2017-05-19,0.0,0.0,0.0,0.0,19.500000000000004,0.0,62.20416666666667,14.708333333333334,2.9333333333333336
2017-05-20,0.0,0.0,0.0,0.0,14.254166666666665,0.0,65.82916666666667,13.125,4.045833333333333
2017-05-21,0.0,0.0,0.0,0.0,22.11666666666667,0.0,60.03333333333334,9.958333333333334,1.9041666666666668
2017-05-22,0.0,9.808333333333332,7.8,17.595833333333335,23.291666666666668,0.0,75.31666666666666,6.416666666666667,0.9958333333333335
2017-05-23,0.0,17.416666666666668,14.445833333333335,31.86666666666667,19.854166666666664,0.0,78.23333333333333,8.583333333333334,1.5041666666666667
2017-05-24,0.0,13.525,11.0375,24.554166666666664,13.291666666666666,0.0,86.75,12.458333333333334,1.7208333333333332
2017-05-25,0.0,25.883333333333336,15.062500000000002,40.925000000000004,20.1125,0.0,85.7958333333333,10.208333333333334,1.2791666666666666
2017-05-26,0.0,10.870833333333332,10.229166666666666,21.099999999999998,11.354166666666666,0.0,84.28333333333335,13.75,1.5541666666666665
2017-05-27,0.0,6.304166666666667,7.5625,13.862499999999999,11.9375,0.0,86.66249999999998,15.583333333333334,1.1708333333333332
2017-05-28,0.0,9.129166666666665,6.795833333333333,15.924999999999999,12.591666666666667,0.0,87.60000000000001,14.041666666666666,0.7875
2017-05-29,0.0,15.895833333333334,7.5,23.3875,17.933333333333334,0.0,82.1125,13.75,0.9541666666666666
2017-05-30,0.0,10.654166666666667,13.125,23.754166666666663,13.695833333333333,0.0,79.74583333333335,13.666666666666666,1.3958333333333333
