Date(NZST),RH(%)_m,Tmax(C)_m,Tmin(C)_m,Dir(DegT)_m,Speed(m/s)_m,Pmsl(hPa),Prec,RH(%)_s,Tmax(C)_s,Tmin(C)_s,Dir(DegT)_s,Speed(m/s)_s
2018-09-12,73,20.7,14.6,196.0,5.1,1019.5,0.0,,,,,
2018-10-12,72,21.2,16.0,213.0,4.6,1014.6,0.0,,,,,
2018-11-12,78,22.6,13.1,344.0,1.1,1013.6,0.0,,,,,
2018-12-12,85,23.8,15.4,326.0,1.0,1012.6,0.0,,,,,
2018-12-13,80,23.0,15.9,326.0,1.9,1014.1,0.0,,,,,
2018-12-14,71,23.9,17.2,9.0,3.1,1017.0,0.0,,,,,
2018-12-15,82,23.4,15.0,47.0,2.8,1019.2,3.6,,,,,
2018-12-16,82,23.2,14.5,60.0,0.7,1024.1,0.0,,,,,
2018-12-17,83,25.0,15.4,324.0,1.2,1025.8,3.6,,,,,
2018-12-18,71,26.0,15.1,191.0,2.5,1018.6,0.0,,,,,
2018-12-19,68,25.3,15.4,260.0,3.6,1009.7,0.0,,,,,
2018-12-20,91,24.3,16.5,343.0,4.5,1001.8,14.4,,,,,
2018-12-21,82,22.9,14.7,254.0,3.1,1002.8,6.0,,,,,
2018-12-22,78,22.0,14.2,288.0,1.7,1006.6,0.4,,,,,
2018-12-23,84,23.8,16.4,154.0,1.5,1007.5,0.6,,,,,
2018-12-24,97,20.7,18.5,14.0,1.4,1010.7,31.0,,,,,
2018-12-25,81,20.6,17.0,5.0,4.0,1003.3,52.0,,,,,
2018-12-26,72,21.7,16.6,221.0,5.6,1009.6,7.8,,,,,
2018-12-27,62,22.9,15.8,200.0,5.1,1015.8,0.0,,,,,
2018-12-28,60,21.7,13.3,197.0,4.2,1019.3,0.0,,,,,
2018-12-29,75,23.6,13.3,53.0,1.7,1023.0,0.0,,,,,
2018-12-30,76,24.6,13.2,280.0,1.5,1022.6,0.0,,,,,
2018-12-31,70,24.6,17.2,223.0,2.0,1018.8,0.0,,,,,
2019-01-01,78,23.1,18.0,218.0,3.3,1014.5,0.0,,,,,
2019-02-01,82,23.4,19.0,229.0,2.4,1014.3,0.0,,,,,
2019-03-01,85,25.1,15.7,260.0,1.6,1014.3,0.0,,,,,
2019-04-01,67,24.7,20.0,234.0,4.6,1014.1,0.0,,,,,
2019-05-01,74,23.6,14.4,249.0,1.2,1019.3,0.0,,,,,
2019-06-01,76,25.5,13.1,239.0,2.1,1018.0,0.0,,,,,
2019-07-01,75,25.4,15.8,228.0,2.6,1017.6,0.0,,,,,
2019-08-01,66,26.8,19.4,174.0,3.5,1018.8,0.0,,,,,
2019-09-01,71,24.5,14.4,176.0,2.3,1019.2,0.0,,,,63.0,0.9
2019-10-01,80,25.6,18.5,328.0,1.5,1019.3,0.0,76.0,14.2,10.1,277.0,7.5
2019-11-01,82,27.5,16.9,304.0,1.2,1020.1,0.0,67.0,14.1,10.3,215.0,11.6
2019-12-01,61,27.6,18.5,198.0,3.6,1021.2,0.0,92.0,18.1,15.5,25.0,8.2
2019-01-13,76,27.2,19.4,72.0,3.2,1018.3,0.0,,,,,
2019-01-14,93,26.1,18.2,311.0,3.7,1007.2,2.2,,,,,
2019-01-15,80,21.9,12.9,161.0,3.2,1006.4,14.4,,,,,
2019-01-16,72,21.1,14.8,194.0,2.4,1007.1,0.0,,,,,
2019-01-17,78,24.2,18.8,200.0,5.0,1008.9,0.0,,,,,
2019-01-18,72,24.6,17.8,213.0,3.6,1012.3,0.0,,,,,
2019-01-19,71,24.8,18.3,202.0,2.1,1014.8,0.0,,,,,
2019-01-20,84,26.4,20.3,278.0,3.7,1010.9,0.0,,,,,
2019-01-21,59,24.1,17.2,223.0,5.0,1011.9,0.4,,,,,
2019-01-22,61,24.6,18.1,206.0,6.2,1015.0,0.0,,,,,
2019-01-23,72,23.9,14.7,219.0,3.5,1014.1,0.0,,,,,
2019-01-24,97,25.3,20.3,294.0,3.7,1010.3,0.4,,,,,
2019-01-25,74,22.6,13.6,189.0,4.0,1016.6,3.2,,,,,
2019-01-26,68,24.7,14.8,246.0,1.3,1018.7,0.0,,,,,
2019-01-27,69,24.0,14.3,246.0,1.7,1017.2,0.0,,,,,
2019-01-28,90,24.6,19.6,217.0,2.6,1018.2,0.2,,,,,
2019-01-29,80,26.4,19.7,183.0,3.4,1018.6,0.0,,,,,
2019-01-30,78,29.8,20.6,78.0,3.0,1024.0,0.0,,,,,
2019-01-31,70,27.9,19.0,36.0,2.2,1022.6,0.0,,,,,
2019-01-02,74,26.4,16.0,285.0,0.5,1018.0,0.0,,,,,
2019-02-02,95,27.1,15.1,217.0,2.6,1015.7,0.0,,,,,
2019-03-02,65,26.5,18.6,103.0,2.8,1021.9,0.0,,,,,
2019-04-02,67,25.3,16.4,80.0,3.5,1022.9,0.0,,,,,
2019-05-02,84,26.9,14.2,88.0,0.4,1019.7,0.0,,,,,
2019-06-02,84,27.9,14.2,105.0,0.7,1018.1,0.0,,,,,
2019-07-02,68,28.0,18.6,111.0,3.8,1023.2,0.0,,,,,
2019-08-02,64,22.0,16.4,128.0,3.7,1022.1,0.0,,,,,
2019-09-02,68,24.6,16.0,111.0,2.6,1017.5,0.0,,,,174.0,2.6
2019-10-02,75,26.2,13.7,181.0,2.3,1012.6,0.0,61.0,12.0,6.9,223.0,14.0
2019-11-02,81,27.7,14.3,49.0,0.6,1006.6,0.0,75.0,12.7,10.8,203.0,10.4
2019-12-02,88,28.4,15.1,318.0,2.5,1006.6,0.0,88.0,18.1,15.5,10.0,6.3
2019-02-13,86,27.6,15.1,176.0,1.5,1011.8,0.0,,,,,
2019-02-14,86,26.8,14.4,343.0,0.6,1013.4,0.0,,,,,
2019-02-15,80,28.4,15.1,223.0,1.4,1013.6,0.0,,,,,
2019-02-16,66,27.3,18.1,192.0,5.6,1012.4,0.0,,,,,
2019-02-17,84,24.4,13.9,338.0,0.7,1014.4,0.0,,,,,
2019-02-18,93,26.0,15.7,167.0,3.3,1015.4,2.0,,,,,
2019-02-19,68,24.5,13.5,227.0,1.8,1015.5,0.0,,,,,
2019-02-20,84,26.8,14.5,143.0,0.4,1015.2,0.0,,,,,
2019-02-21,86,26.2,20.4,40.0,3.5,1016.8,0.0,,,,,
2019-02-22,93,26.8,19.5,10.0,1.9,1014.7,1.0,,,,,
2019-02-23,98,23.3,19.6,221.0,2.8,1005.6,13.4,,,,,
2019-02-24,74,21.4,15.9,235.0,2.1,1000.0,0.8,,,,,
2019-02-25,58,23.3,13.2,167.0,5.7,1011.5,0.8,,,,,
2019-02-26,58,23.3,10.6,178.0,2.3,1021.8,0.0,,,,,
2019-02-27,77,24.6,9.9,130.0,0.7,1019.8,0.0,,,,,
2019-02-28,65,23.5,14.7,197.0,5.2,1017.2,0.0,,,,,
2019-01-03,63,22.3,16.1,102.0,1.7,1024.4,0.0,,,,,
2019-02-03,73,22.6,11.2,158.0,3.2,1026.3,0.0,,,,,
2019-03-03,81,24.6,9.7,142.0,0.4,1030.0,0.0,,,,,
2019-04-03,92,26.7,11.8,229.0,0.6,1027.7,0.0,,,,,
2019-05-03,63,24.9,15.9,202.0,3.1,1025.4,0.0,,,,,
2019-06-03,89,22.8,11.1,142.0,0.5,1023.6,0.0,,,,,
2019-07-03,96,26.4,12.5,166.0,0.6,1021.8,0.0,,,,,
2019-08-03,86,24.9,17.0,5.0,3.3,1016.3,5.6,,,,,
2019-09-03,92,23.0,11.8,355.0,3.3,1016.9,17.2,,,,74.0,14.8
2019-10-03,83,20.4,12.0,213.0,2.2,1017.2,13.6,87.0,11.4,7.1,213.0,5.6
2019-11-03,100,24.3,11.9,27.0,0.2,1018.4,0.0,92.0,13.7,11.0,195.0,5.7
2019-12-03,92,25.7,15.5,354.0,0.2,1019.6,0.0,81.0,18.2,16.6,357.0,8.9
2019-03-13,86,24.8,14.6,320.0,1.4,1019.6,0.0,,,,,
2019-03-14,96,26.5,14.4,137.0,0.3,1020.7,0.0,,,,,
2019-03-15,89,27.1,15.0,321.0,0.6,1022.7,0.0,,,,,
2019-03-16,94,25.5,15.8,154.0,1.3,1022.5,0.0,,,,,
2019-03-17,97,26.8,16.5,184.0,0.8,1024.6,0.0,,,,,
2019-03-18,78,26.7,18.8,60.0,1.8,1024.9,0.0,,,,,
2019-03-19,92,25.4,18.5,9.0,1.7,1023.3,1.0,,,,,
2019-03-20,84,20.6,15.9,150.0,1.5,1023.8,0.0,,,,,
2019-03-21,93,23.7,13.0,177.0,0.7,1025.1,0.0,,,,,
2019-03-22,91,25.9,15.8,251.0,0.4,1026.4,0.0,,,,,
2019-03-23,100,25.9,14.0,184.0,0.3,1023.4,0.0,,,,,
2019-03-24,97,25.3,14.9,53.0,1.2,1023.3,1.8,,,,,
2019-03-25,93,24.5,15.5,202.0,0.4,1026.3,0.0,,,,,
2019-03-26,100,24.8,13.4,236.0,0.2,1026.0,0.0,,,,,
2019-03-27,73,25.2,14.3,340.0,3.6,1020.1,0.0,,,,,
2019-03-28,94,24.9,17.7,337.0,1.8,1019.5,7.8,,,,,
2019-03-29,74,22.8,17.3,70.0,3.8,1023.7,0.2,,,,,
2019-03-30,79,25.4,19.6,94.0,3.0,1024.5,0.0,,,,,
2019-03-31,83,24.8,18.6,82.0,3.2,1021.0,0.0,,,,,
2019-01-04,97,24.9,19.8,23.0,3.7,1014.7,16.2,,,,,
2019-02-04,73,22.7,16.6,195.0,3.4,1016.9,20.8,,,,,
2019-03-04,73,21.5,11.0,172.0,2.7,1021.9,0.0,,,,,
2019-04-04,79,18.6,13.0,153.0,1.4,1022.0,0.2,,,,,
2019-05-04,91,22.6,9.9,120.0,0.4,1019.3,0.0,,,,,
2019-06-04,94,21.9,13.8,151.0,1.6,1018.7,17.0,,,,,
2019-07-04,80,17.2,10.1,153.0,1.7,1017.8,3.4,,,,,
2019-08-04,81,18.8,7.4,156.0,1.4,1016.8,0.2,,,,,
2019-09-04,72,20.2,10.6,193.0,0.8,1020.0,0.0,,,,41.0,12.5
2019-10-04,93,22.1,8.0,75.0,0.8,1019.1,0.0,87.0,11.2,7.7,204.0,6.8
2019-11-04,76,23.0,10.1,359.0,2.4,1010.5,0.0,89.0,19.9,12.0,188.0,6.2
2019-12-04,66,21.3,13.0,243.0,3.4,1009.9,15.6,83.0,20.8,13.4,291.0,4.6
2019-04-13,64,20.5,10.7,160.0,3.2,1016.5,1.6,,,,,
2019-04-14,85,18.0,5.4,318.0,1.1,1017.4,0.0,,,,,
2019-04-15,84,20.5,7.0,152.0,2.2,1021.2,0.0,,,,,
2019-04-16,90,21.1,6.2,157.0,1.3,1026.5,0.0,,,,,
2019-04-17,68,21.0,7.3,136.0,1.0,1032.2,0.0,,,,,
2019-04-18,72,21.1,8.4,163.0,2.8,1034.0,0.0,,,,,
2019-04-19,84,20.8,7.2,150.0,1.3,1034.1,0.0,,,,,
2019-04-20,86,21.6,6.7,153.0,1.2,1029.9,0.0,,,,,
2019-04-21,91,21.7,7.5,255.0,0.5,1024.7,0.0,,,,,
2019-04-22,92,21.5,14.3,258.0,1.2,1021.4,1.0,,,,,
2019-04-23,100,17.2,10.9,105.0,0.6,1018.2,16.6,,,,,
2019-04-24,100,19.3,9.0,169.0,1.4,1016.3,17.8,,,,,
2019-04-25,80,20.7,13.8,209.0,2.8,1015.2,0.0,,,,,
2019-04-26,74,21.3,14.4,230.0,2.8,1016.5,0.0,,,,,
2019-04-27,100,22.0,11.4,319.0,1.6,1017.8,0.0,,,,,
2019-04-28,94,22.2,14.0,1.0,1.6,1013.6,0.0,,,,,
2019-04-29,82,19.3,10.3,5.0,3.7,1006.8,1.6,,,,,
2019-04-30,59,19.3,12.2,169.0,4.6,1014.4,4.6,,,,,
2019-01-05,68,18.7,4.1,156.0,1.4,1026.2,0.0,,,,,
2019-02-05,90,17.5,4.4,161.0,1.1,1024.3,0.0,,,,,
2019-03-05,92,19.2,9.6,97.0,0.4,1024.1,0.0,,,,,
2019-04-05,100,20.5,7.9,194.0,0.3,1027.0,0.0,,,,,
2019-05-05,100,20.8,7.5,197.0,0.3,1026.5,0.0,,,,,
2019-06-05,100,21.3,9.7,168.0,0.7,1027.4,0.0,,,,,
2019-07-05,82,19.8,11.0,104.0,2.9,1027.3,0.0,,,,,
2019-08-05,95,20.5,12.2,114.0,0.9,1024.2,0.0,,,,,
2019-09-05,100,21.5,8.7,210.0,0.2,1024.2,0.0,,,,20.0,9.4
2019-10-05,98,21.4,14.2,325.0,0.9,1023.3,4.0,91.0,12.2,8.9,285.0,7.0
2019-11-05,100,22.1,11.2,235.0,1.2,1025.3,0.2,33.0,22.5,13.2,173.0,4.4
2019-12-05,85,20.3,12.2,29.0,5.5,1014.8,0.0,90.0,21.1,15.7,331.0,3.7
2019-05-13,66,21.1,15.2,232.0,6.2,1013.8,12.8,,,,,
2019-05-14,98,19.2,9.3,102.0,0.6,1025.8,0.0,,,,,
2019-05-15,92,17.3,9.2,334.0,1.7,1019.6,0.2,,,,,
2019-05-16,84,20.1,13.9,235.0,2.6,1014.4,3.0,,,,,
2019-05-17,70,19.2,14.0,221.0,3.5,1017.7,0.6,,,,,
2019-05-18,88,17.4,7.9,350.0,0.8,1023.1,0.0,,,,,
2019-05-19,82,18.4,11.6,250.0,2.8,1016.0,1.6,,,,,
2019-05-20,71,19.0,10.9,222.0,3.5,1020.5,0.2,,,,,
2019-05-21,66,17.8,13.1,233.0,1.4,1024.6,0.0,,,,,
2019-05-22,84,17.4,12.4,269.0,1.1,1026.2,0.2,,,,,
2019-05-23,99,18.6,10.5,280.0,1.1,1025.3,0.0,,,,,
2019-05-24,100,18.0,7.0,161.0,0.9,1027.3,0.0,,,,,
2019-05-25,100,19.6,6.7,166.0,0.2,1025.2,0.0,,,,,
2019-05-26,100,19.4,7.1,87.0,0.4,1022.2,0.0,,,,,
2019-05-27,94,20.0,11.6,98.0,0.5,1017.0,0.0,,,,,
2019-05-28,98,20.8,11.2,37.0,4.1,1007.8,2.6,,,,,
2019-05-29,76,20.3,13.2,240.0,2.4,1012.5,7.6,,,,,
2019-05-30,100,20.1,6.4,327.0,0.2,1015.1,0.0,,,,,
2019-05-31,95,20.6,11.7,324.0,3.6,1003.0,11.2,,,,,
2019-01-06,71,14.4,9.4,275.0,3.6,997.8,15.4,,,,,
2019-02-06,93,14.6,5.0,201.0,2.3,999.8,7.8,,,,,
2019-03-06,100,13.6,1.7,190.0,0.4,1014.9,0.2,,,,,
2019-04-06,95,14.4,4.4,328.0,0.5,1013.0,0.0,,,,,
2019-05-06,93,15.3,9.8,26.0,6.2,997.6,0.8,,,,,
2019-06-06,89,15.3,9.6,218.0,3.9,1003.4,19.8,,,,,
2019-07-06,80,14.2,9.6,235.0,2.0,1002.0,11.8,,,,,
2019-08-06,66,14.6,8.4,230.0,7.0,1009.0,4.6,,,,,
2019-09-06,92,15.9,6.6,205.0,0.7,1018.5,0.4,,,,239.0,13.7
2019-10-06,99,15.7,7.7,335.0,0.8,1020.9,0.0,95.0,13.1,8.3,187.0,5.9
2019-11-06,100,15.4,6.4,256.0,0.7,1019.9,0.0,43.0,23.4,17.1,280.0,2.2
2019-12-06,100,16.4,7.5,292.0,0.5,1011.3,0.0,93.0,21.8,15.2,305.0,2.8
2019-06-13,100,14.5,5.8,319.0,0.9,1008.4,0.0,,,,,
2019-06-14,100,13.2,4.0,151.0,0.5,1007.7,2.2,,,,,
2019-06-15,84,16.9,7.1,251.0,2.9,1007.4,0.0,,,,,
2019-06-16,82,17.2,9.0,244.0,0.6,1013.6,2.6,,,,,
2019-06-17,87,16.1,5.3,227.0,1.0,1017.0,0.8,,,,,
2019-06-18,99,14.7,4.8,236.0,0.1,1019.6,2.4,,,,,
2019-06-19,100,14.5,0.2,158.0,1.5,1024.9,0.0,,,,,
2019-06-20,72,14.4,3.4,87.0,2.9,1023.4,0.0,,,,,
2019-06-21,99,15.2,12.0,358.0,0.7,1015.3,3.8,,,,,
2019-06-22,100,15.5,5.7,309.0,0.5,1012.6,0.6,,,,,
2019-06-23,92,12.3,7.4,34.0,4.7,1004.3,4.4,,,,,
2019-06-24,100,15.4,4.9,174.0,0.7,1011.1,1.6,,,,,
2019-06-25,75,15.1,6.7,168.0,2.9,1025.2,0.2,,,,,
2019-06-26,100,14.1,0.8,178.0,0.1,1032.1,0.0,,,,,
2019-06-27,100,14.6,-0.5,213.0,0.4,1034.1,0.0,,,,,
2019-06-28,100,14.2,3.1,164.0,1.0,1036.4,0.0,,,,,
2019-06-29,85,15.6,3.0,143.0,2.1,1037.0,0.0,,,,,
2019-06-30,91,15.1,4.1,173.0,2.4,1033.0,0.2,,,,,
2019-01-07,88,14.8,7.2,175.0,1.3,1030.3,0.0,,,,,
2019-02-07,87,16.6,9.6,76.0,3.7,1029.9,2.8,,,,,
2019-03-07,91,16.4,13.0,34.0,3.4,1026.5,0.0,,,,,
2019-04-07,100,17.1,14.7,18.0,2.6,1018.6,10.2,,,,,
2019-05-07,87,15.7,6.7,174.0,2.0,1015.1,27.2,,,,,
2019-06-07,100,11.0,0.6,150.0,1.0,1023.8,0.6,,,,,
2019-07-07,100,13.0,-0.4,190.0,0.5,1024.7,0.0,,,,,
2019-08-07,73,13.2,3.4,250.0,2.6,1013.9,0.2,,,,,
2019-09-07,100,14.6,4.2,340.0,0.8,1014.2,0.8,,,,208.0,9.3
2019-10-07,100,13.9,2.5,315.0,1.7,1016.9,0.0,100.0,15.1,8.8,55.0,9.8
2019-11-07,100,15.6,7.9,318.0,1.0,1018.7,0.4,74.0,22.3,16.2,37.0,3.5
2019-12-07,100,16.9,4.8,322.0,0.5,1015.3,0.8,93.0,20.8,16.6,338.0,4.5
2019-07-13,100,14.3,5.0,321.0,1.2,1017.5,8.2,,,,,
2019-07-14,79,17.2,10.2,12.0,4.0,1003.3,0.0,,,,,
2019-07-15,95,15.8,6.9,83.0,0.9,1006.7,19.4,,,,,
2019-07-16,96,15.1,9.4,330.0,1.3,995.4,3.0,,,,,
2019-07-17,79,15.2,8.4,350.0,1.6,998.7,2.4,,,,,
2019-07-18,100,15.0,4.3,79.0,0.7,1009.0,1.4,,,,,
2019-07-19,88,16.2,6.0,21.0,5.4,1001.4,1.4,,,,,
2019-07-20,99,13.7,6.3,330.0,1.2,1004.4,18.6,,,,,
2019-07-21,100,15.3,3.8,185.0,0.8,1006.7,1.8,,,,,
2019-07-22,100,15.0,2.5,161.0,0.5,1014.1,0.0,,,,,
2019-07-23,100,15.4,4.0,152.0,0.6,1015.9,0.0,,,,,
2019-07-24,100,14.9,3.0,303.0,0.4,1015.5,0.0,,,,,
2019-07-25,100,14.5,2.4,146.0,0.1,1016.9,0.0,,,,,
2019-07-26,86,14.9,5.4,101.0,3.5,1019.4,0.4,,,,,
2019-07-27,89,15.6,8.7,159.0,1.8,1024.5,0.2,,,,,
2019-07-28,88,16.3,5.7,109.0,2.2,1025.1,0.0,,,,,
2019-07-29,96,16.1,7.3,141.0,1.3,1016.7,0.0,,,,,
2019-07-30,99,17.0,9.4,322.0,1.7,1006.0,2.4,,,,,
2019-07-31,82,16.4,6.1,229.0,1.1,1002.6,1.8,,,,,
2019-01-08,99,12.6,1.8,152.0,1.2,1003.9,7.2,,,,,
2019-02-08,70,12.1,5.6,245.0,5.3,1010.3,0.2,,,,,
2019-03-08,77,14.9,7.5,241.0,5.4,1010.3,7.8,,,,,
2019-04-08,91,13.3,9.4,293.0,4.9,1007.3,5.6,,,,,
2019-05-08,82,14.7,6.2,225.0,3.9,1010.2,15.0,,,,,
2019-06-08,79,11.5,5.9,245.0,1.3,1018.8,2.6,,,,,
2019-07-08,98,14.2,4.0,309.0,1.1,1018.5,0.6,,,,,
2019-08-08,98,15.4,8.2,346.0,1.4,1014.8,24.6,,,,,
2019-09-08,99,15.2,9.7,358.0,0.4,998.1,13.8,,,,285.0,11.3
2019-10-08,84,14.3,10.0,332.0,2.4,1001.9,13.4,91.0,13.2,11.1,278.0,3.4
2019-11-08,90,17.6,10.9,22.0,2.3,1001.0,4.6,96.0,20.7,14.8,18.0,5.6
2019-12-08,83,18.3,9.6,306.0,4.5,998.4,7.2,93.0,21.6,17.0,353.0,7.3
2019-08-13,73,15.9,8.5,254.0,3.6,1005.3,13.8,,,,,
2019-08-14,71,14.9,8.7,238.0,4.5,1012.4,6.8,,,,,
2019-08-15,100,14.8,4.6,11.0,0.7,1018.6,1.0,,,,,
2019-08-16,90,13.3,6.4,303.0,1.1,1017.9,0.2,,,,,
2019-08-17,91,14.4,6.8,323.0,2.7,1013.3,0.2,,,,,
2019-08-18,93,15.5,7.9,138.0,3.0,1016.4,7.2,,,,,
2019-08-19,75,9.0,1.8,150.0,1.7,1024.9,4.0,,,,,
2019-08-20,66,12.6,6.4,16.0,4.4,1014.8,0.4,,,,,
2019-08-21,86,14.0,9.1,227.0,4.6,997.3,13.0,,,,219.0,13.2
2019-08-22,91,14.1,9.1,344.0,3.9,995.1,6.2,,,,323.0,9.6
2019-08-23,97,14.2,9.0,15.0,3.0,994.9,10.2,,,,335.0,9.1
2019-08-24,69,12.1,4.8,187.0,6.3,1002.3,4.4,,,,194.0,6.1
2019-08-25,80,14.4,10.2,239.0,3.3,1013.5,0.0,,,,228.0,9.5
2019-08-26,81,15.5,10.7,296.0,5.9,1011.7,0.0,,,,278.0,6.9
2019-08-27,62,15.9,7.5,239.0,2.8,1018.3,3.4,,,,223.0,10.8
2019-08-28,68,14.5,4.7,270.0,1.1,1022.4,0.0,,,,209.0,5.3
2019-08-29,96,15.1,3.9,317.0,1.2,1022.7,0.2,,,,235.0,5.8
2019-08-30,90,15.3,3.4,326.0,1.1,1022.7,0.0,,,,221.0,4.2
2019-08-31,64,15.5,9.1,236.0,3.1,1024.9,3.8,,,,221.0,10.0
2019-01-09,97,14.1,2.8,108.0,0.1,1028.5,0.0,,,,,
2019-02-09,99,15.1,4.7,223.0,0.1,1022.9,0.0,,,,,
2019-03-09,75,16.2,9.3,79.0,4.9,1012.6,0.0,,,,,
2019-04-09,93,15.5,12.7,36.0,3.6,999.0,31.6,,,,,
2019-05-09,84,17.2,12.7,34.0,3.6,989.4,1.6,,,,,
2019-06-09,73,16.9,9.6,243.0,4.8,994.6,20.8,,,,,
2019-07-09,74,14.3,6.5,220.0,3.5,1005.4,3.4,,,,,
2019-08-09,81,15.9,7.7,325.0,2.9,1001.4,6.8,,,,,
2019-09-09,95,16.9,7.8,32.0,1.8,998.3,11.2,,,,23.0,6.2
2019-10-09,77,16.5,9.4,97.0,6.2,996.7,13.6,88.0,15.1,12.1,44.0,4.2
2019-11-09,74,14.1,6.2,273.0,1.1,1008.7,0.2,100.0,17.6,15.0,34.0,10.7
2019-12-09,69,14.8,9.6,238.0,3.5,1017.2,0.0,71.0,21.6,14.6,202.0,6.9
2019-09-13,88,16.8,10.8,306.0,1.9,1017.7,0.0,94.0,12.2,9.7,255.0,6.3
2019-09-14,65,16.8,11.4,8.0,2.9,1014.8,1.0,78.0,12.9,10.2,350.0,6.5
2019-09-15,86,18.0,5.9,330.0,1.2,1012.5,0.4,90.0,13.4,9.2,289.0,3.8
2019-09-16,77,18.3,6.6,227.0,2.0,1016.7,1.0,81.0,14.2,9.9,213.0,8.0
2019-09-17,74,17.4,12.3,283.0,5.1,1019.3,0.0,88.0,13.3,10.9,264.0,11.7
2019-09-18,60,18.5,11.1,166.0,3.6,1028.7,0.2,64.0,14.0,9.0,165.0,5.0
2019-09-19,87,16.8,9.4,163.0,2.1,1032.8,2.4,84.0,12.8,9.0,102.0,2.0
2019-09-20,81,15.7,4.9,336.0,0.7,1032.7,0.2,78.0,14.0,9.1,184.0,3.5
2019-09-21,74,16.9,5.1,330.0,0.5,1035.7,0.2,56.0,14.6,9.2,116.0,0.7
2019-09-22,74,17.8,6.2,200.0,3.8,1032.3,0.0,83.0,14.4,9.6,195.0,8.5
2019-09-23,63,16.3,10.0,262.0,3.6,1023.8,0.0,70.0,12.2,10.1,248.0,8.2
2019-09-24,92,18.1,12.7,352.0,5.0,1004.5,6.8,91.0,13.7,11.0,336.0,12.3
2019-09-25,84,16.3,9.0,256.0,4.2,1008.7,15.4,82.0,13.6,7.4,244.0,14.7
2019-09-26,69,16.3,8.5,238.0,7.3,1010.4,6.8,70.0,12.1,6.7,227.0,19.0
2019-09-27,63,14.6,10.2,254.0,3.8,1014.8,0.4,68.0,11.5,7.1,242.0,11.5
2019-09-28,73,17.4,10.0,266.0,2.5,1019.1,0.4,86.0,12.7,9.7,243.0,6.8
2019-09-29,93,17.6,6.9,329.0,2.4,1020.2,0.0,93.0,13.3,10.0,273.0,7.8
2019-09-30,89,19.2,12.2,18.0,5.9,1007.1,0.2,100.0,15.0,11.5,6.0,16.7
2019-01-10,79,18.6,11.1,298.0,2.5,1009.6,3.2,,,,,
2019-02-10,54,15.7,8.4,233.0,4.7,1013.1,4.8,,,,,
2019-03-10,83,15.3,7.4,295.0,0.9,1015.8,4.8,,,,,
2019-04-10,86,14.9,8.1,257.0,1.4,1017.3,2.4,,,,,
2019-05-10,88,16.8,8.2,333.0,2.3,1016.5,0.0,,,,,
2019-06-10,88,17.5,10.6,185.0,1.5,1017.3,1.2,,,,,
2019-07-10,90,17.8,11.7,50.0,3.5,1021.7,0.0,,,,,
2019-08-10,99,17.3,11.0,310.0,0.6,1022.5,1.2,,,,,
2019-09-10,100,18.8,8.2,31.0,0.6,1022.5,0.0,88.0,13.5,9.3,88.0,12.0
2019-10-10,93,20.2,13.2,28.0,4.5,1016.9,0.0,100.0,16.3,13.1,17.0,16.1
2019-11-10,97,19.9,15.1,20.0,1.0,1012.8,8.6,100.0,17.0,15.1,14.0,18.3
2019-12-10,85,18.9,13.1,196.0,2.2,1015.3,0.0,67.0,16.9,12.2,153.0,4.4
2019-10-13,79,19.3,6.1,232.0,1.4,1019.3,0.0,87.0,15.3,11.3,195.0,6.6
2019-10-14,76,19.5,9.9,66.0,6.1,1012.3,1.4,84.0,16.0,11.2,66.0,17.6
2019-10-15,98,15.5,12.4,112.0,5.6,988.9,53.0,100.0,13.8,10.0,88.0,16.6
2019-10-16,80,18.6,12.1,227.0,5.9,998.3,4.6,90.0,15.8,10.9,218.0,14.6
2019-10-17,80,17.9,12.3,234.0,2.9,1013.5,0.0,89.0,13.4,10.1,218.0,10.2
2019-10-18,86,18.1,11.5,357.0,2.2,1017.7,0.0,96.0,14.0,10.7,304.0,5.9
2019-10-19,83,20.2,14.1,318.0,4.6,1011.1,1.6,91.0,16.1,11.4,295.0,10.4
2019-10-20,71,19.1,12.7,250.0,1.6,1017.8,0.2,82.0,14.7,11.1,243.0,5.6
2019-10-21,76,19.2,8.8,319.0,2.7,1012.8,0.0,86.0,14.9,11.0,278.0,8.3
2019-10-22,77,18.9,12.6,257.0,3.6,1009.6,3.8,82.0,14.7,9.0,238.0,13.7
2019-10-23,66,18.2,8.7,245.0,6.4,1000.7,5.8,67.0,13.8,7.0,239.0,19.9
2019-10-24,60,15.4,10.1,253.0,4.8,1011.7,1.2,68.0,11.1,7.4,243.0,11.7
2019-10-25,58,16.7,11.6,239.0,6.0,1010.4,0.2,66.0,13.0,10.0,227.0,14.0
2019-10-26,60,16.7,10.8,233.0,4.2,1015.1,0.0,70.0,12.3,10.0,216.0,9.8
2019-10-27,76,18.9,8.9,238.0,1.6,1017.2,0.0,88.0,14.4,11.2,228.0,4.7
2019-10-28,87,22.0,13.1,323.0,2.3,1016.6,0.0,100.0,17.7,11.9,281.0,5.9
2019-10-29,76,21.9,12.6,272.0,1.7,1013.3,1.4,94.0,17.6,10.9,236.0,5.0
2019-10-30,56,17.7,10.8,213.0,5.8,1013.2,0.0,63.0,13.4,9.5,202.0,12.9
2019-10-31,73,17.5,13.5,207.0,4.8,1012.1,1.2,81.0,13.1,10.4,197.0,11.8
