Date(NZST),RH(%)_m,Tmax(C)_m,Tmin(C)_m,Dir(DegT)_m,Speed(m/s)_m,Pmsl(hPa),Prec,RH(%)_s,Tmax(C)_s,Tmin(C)_s,Dir(DegT)_s,Speed(m/s)_s
2018-03-21,86,25.8,13.3,154.0,1.8,1023.5,0.8,,,,,
2018-03-22,98,25.5,12.7,169.0,0.9,1020.4,0.8,,,,,
2018-03-23,74,24.6,16.3,77.0,2.9,1019.6,0.4,,,,,
2018-03-24,83,24.1,16.9,51.0,3.2,1021.3,24.0,,,,,
2018-03-25,97,23.5,16.0,264.0,0.7,1021.6,10.4,,,,,
2018-03-26,98,24.7,12.8,160.0,0.8,1023.6,0.0,,,,,
2018-03-27,98,25.2,14.6,136.0,0.5,1025.0,0.0,,,,,
2018-03-28,-,23.5,13.8,0.0,0.0,1023.0,0.0,,,,,
2018-03-29,-,24.6,16.7,0.0,0.0,1020.1,0.0,,,,,
2018-03-30,-,26.6,16.7,316.0,0.1,1017.5,0.6,,,,,
2018-03-31,-,24.6,12.9,0.0,0.0,1016.3,0.6,,,,,
2018-01-04,-,24.7,13.3,213.0,2.3,1019.7,0.4,,,,,
2018-02-04,-,22.6,11.6,212.0,1.1,1022.0,0.0,,,,,
2018-03-04,-,22.7,10.6,296.0,0.8,1020.2,0.0,,,,,
2018-04-04,-,25.2,13.6,323.0,1.8,1016.7,0.0,,,,,
2018-05-04,-,25.6,12.5,220.0,2.8,1015.7,1.6,,,,,
2018-06-04,-,23.4,10.6,0.0,0.0,1018.2,0.0,,,,,
2018-07-04,62,24.7,11.4,247.0,1.0,1016.7,0.0,,,,,
2018-08-04,80,24.2,10.1,291.0,0.1,1017.9,0.2,,,,,
2018-09-04,79,22.4,8.8,320.0,1.0,1013.5,0.0,,,,,
2018-10-04,82,22.5,16.5,317.0,6.2,999.2,6.6,,,,,
2018-11-04,90,21.6,8.2,184.0,4.6,1004.4,21.8,,,,,
2018-12-04,62,14.7,7.9,136.0,1.9,1012.3,5.0,,,,,
2018-04-13,61,18.4,13.1,240.0,5.9,1012.0,3.8,,,,,
2018-04-14,95,19.9,14.5,276.0,4.3,1010.8,28.2,,,,,
2018-04-15,99,20.8,14.9,0.0,0.0,1015.2,10.4,,,,,
2018-04-16,87,23.2,17.1,345.0,4.0,1009.4,2.8,,,,,
2018-04-17,91,23.2,15.0,325.0,1.5,1012.4,3.0,,,,,
2018-04-18,74,24.4,16.0,233.0,3.7,1012.2,2.8,,,,,
2018-04-19,70,18.9,9.7,231.0,0.9,1020.9,1.0,,,,,
2018-04-20,84,19.9,10.9,287.0,1.0,1020.1,0.0,,,,,
2018-04-21,84,20.6,12.3,317.0,1.8,1015.9,0.6,,,,,
2018-04-22,85,20.9,12.7,220.0,2.4,1017.4,2.4,,,,,
2018-04-23,76,19.9,10.5,,,1023.2,0.0,,,,,
2018-04-24,88,18.3,12.8,,,1022.1,0.0,,,,,
2018-04-25,88,18.4,8.9,,,1021.0,0.2,,,,,
2018-04-26,95,20.6,7.5,,,1023.6,0.0,,,,,
2018-04-27,96,20.9,10.2,,,1019.2,0.0,,,,,
2018-04-28,88,20.4,14.4,,,1006.8,1.0,,,,,
2018-04-29,92,19.5,17.2,,,1002.1,25.4,,,,,
2018-04-30,85,22.8,15.6,,,998.7,0.0,,,,,
2018-01-05,84,21.1,13.9,,,1002.3,1.2,,,,,
2018-02-05,80,21.5,13.9,,,1009.1,0.0,,,,,
2018-03-05,72,22.2,7.0,,,1021.1,0.0,,,,,
2018-04-05,98,18.2,5.7,205.0,0.2,1025.5,0.0,,,,,
2018-05-05,98,19.8,8.4,182.0,0.4,1026.6,0.0,,,,,
2018-06-05,96,19.3,11.1,331.0,1.7,1021.5,1.0,,,,,
2018-07-05,65,20.6,10.2,219.0,4.2,1021.1,0.4,,,,,
2018-08-05,73,19.0,8.8,242.0,1.4,1025.0,0.0,,,,,
2018-09-05,96,19.7,8.7,298.0,0.4,1027.7,0.0,,,,,
2018-10-05,99,20.9,9.2,226.0,0.4,1027.9,0.0,,,,,
2018-11-05,84,20.0,13.7,23.0,2.3,1021.8,0.0,,,,,
2018-12-05,90,20.5,16.8,48.0,1.7,1016.4,4.0,,,,,
2018-05-13,97,18.9,16.9,346.0,0.6,1015.1,20.4,,,,,
2018-05-14,97,23.4,16.0,354.0,0.5,1013.5,3.6,,,,,
2018-05-15,92,23.7,17.0,26.0,2.4,1012.9,0.0,,,,,
2018-05-16,85,22.1,15.3,14.0,2.8,1006.5,0.0,,,,,
2018-05-17,93,21.6,12.1,335.0,1.7,1010.7,4.4,,,,,
2018-05-18,97,17.4,7.9,164.0,0.3,1018.0,0.6,,,,,
2018-05-19,79,19.3,9.3,332.0,4.2,1015.3,0.0,,,,,
2018-05-20,99,19.6,7.6,344.0,1.0,1014.0,18.4,,,,,
2018-05-21,84,19.8,11.4,310.0,2.3,1009.6,8.2,,,,,
2018-05-22,95,20.2,12.6,343.0,1.8,1007.3,5.2,,,,,
