Date,MaxTemp,MinTemp,RelHum,WindSpeed,Pressure
2018-04-04,26.1,17.9,,0.3402777777777777,1012.0
2018-04-05,23.6,17.3,,0.484722222222222,1012.0
2018-04-06,23.7,17.4,,0.36666666666666653,1012.0
2018-04-07,24.5,17.5,,0.3722222222222222,1011.0
2018-04-08,23.6,15.9,,0.3756944444444445,1012.0
2018-04-09,23.4,15.9,,0.25972222222222235,1009.0
2018-04-10,21.9,13.3,,0.6916666666666668,1000.0
2018-04-11,14.0,9.2,,0.7811594202898551,999.0
2018-04-12,18.5,11.7,,,
2018-04-13,21.4,15.4,,,
2018-04-14,21.1,16.1,,,
2018-04-15,19.9,17.6,,,
2018-04-16,22.9,18.4,,0.18125,1006.0
2018-04-17,24.9,17.4,,0.2826388888888891,1007.0
2018-04-18,20.2,15.5,,0.4868055555555555,1012.0
2018-04-19,20.8,14.5,,0.35069444444444453,1015.0
2018-04-20,22.4,15.5,,0.3069444444444445,1014.0
2018-04-21,21.7,15.7,,0.25555555555555576,1010.0
2018-04-22,20.8,15.9,,0.42657342657342656,1015.0
2018-04-23,19.1,16.1,,0.3819444444444442,1017.0
2018-04-24,19.3,14.5,,0.3423611111111111,1016.0
2018-04-25,20.7,14.4,,0.35347222222222197,1016.0
2018-04-26,20.1,13.4,,0.40555555555555567,1018.0
2018-04-27,19.6,15.9,,0.44791666666666685,1015.0
2018-04-28,19.4,17.5,,0.6381944444444447,1004.0
2018-04-29,21.2,18.6,,0.4708333333333335,996.0
2018-04-30,21.4,17.6,,0.44652777777777763,995.0
2018-05-01,21.0,16.5,,0.46180555555555586,996.0
2018-05-02,20.8,15.3,,0.5701388888888892,1011.0
2018-05-03,18.2,11.6,,0.34375000000000017,1015.0
2018-05-04,19.6,12.6,,0.35555555555555585,1020.0
2018-05-05,19.2,14.5,,0.28333333333333344,1021.0
2018-05-06,19.8,14.9,,0.2511111111111113,1018.0
2018-05-07,19.8,15.5,,0.4749999999999999,1018.0
2018-05-08,20.6,14.8,,0.34236111111111145,1018.0
2018-05-09,21.5,15.5,,0.3409722222222224,1021.0
2018-05-10,19.2,13.6,,0.4437499999999997,1021.0
2018-05-11,20.9,17.6,,0.46875,1016.0
2018-05-12,19.1,17.5,,0.3503496503496503,1011.0
2018-05-13,21.1,16.8,,0.45833333333333354,1009.0
2018-05-14,22.6,16.9,,0.3173611111111112,1008.0
2018-05-15,20.6,18.3,,0.5244755244755246,1008.0
2018-05-16,22.1,16.4,,0.32847222222222233,1002.0
2018-05-17,18.7,13.4,,0.3993055555555554,1008.0
2018-05-18,20.6,13.2,,0.30416666666666653,1012.0
2018-05-19,18.9,14.1,,0.41527777777777797,1011.0
2018-05-20,20.0,13.6,,0.28541666666666665,1007.0
2018-05-21,21.0,14.9,,0.288111888111888,1003.0
2018-05-22,20.5,14.7,,0.4888888888888887,1003.0
2018-05-23,16.5,10.4,,0.45833333333333354,989.0
2018-05-24,17.1,10.6,,0.3284722222222224,1000.0
2018-05-25,16.9,10.9,,0.42152777777777745,994.0
2018-05-26,15.4,9.6,,0.5368055555555551,1007.0
2018-05-27,16.6,12.2,,0.3527777777777777,1005.0
2018-05-28,12.5,9.8,,0.6251748251748251,
2018-05-29,14.1,8.2,,0.4027777777777777,
2018-05-30,15.0,8.4,,0.39027777777777783,1013.0
2018-05-31,14.8,8.9,,0.44583333333333347,
2018-06-01,15.4,8.9,,0.4854166666666667,1015.0
2018-06-02,16.5,13.7,,0.6270833333333332,
2018-06-03,16.4,13.3,,0.4893617021276594,1006.0
2018-06-04,16.7,14.3,,0.6333333333333333,
2018-06-05,17.4,14.5,,0.5638888888888888,
2018-06-06,14.8,9.2,,0.4597222222222224,1002.0
2018-06-07,13.3,7.9,,0.6743055555555555,
2018-06-08,16.0,11.4,,0.44825174825174813,1017.0
2018-06-09,15.5,9.8,,0.3750000000000002,1021.0
