Date,AQI,WS
2017-08-02,45.0,4.5
2017-08-03,24.0,5.4
2017-08-04,41.0,2.9
2017-08-05,42.0,3.6
2017-08-06,24.0,4.3
2017-08-07,28.0,2.2
2017-08-08,22.0,3.5
2017-08-09,33.0,3.9
2017-08-10,28.0,4.0
2017-08-11,33.0,5.4
2017-08-12,45.0,7.8
2017-08-13,51.0,3.1
2017-08-14,36.0,4.6
2017-08-15,36.0,6.2
2017-08-16,50.0,6.5
2017-08-17,52.0,2.7
2017-08-18,27.0,3.2
2017-08-19,30.0,4.2
2017-08-20,26.0,6.3
2017-08-21,34.0,2.7
2017-08-22,47.0,2.7
2017-08-23,57.0,3.3
2017-08-24,42.0,3.2
2017-08-25,25.0,4.3
2017-08-26,19.0,4.7
2017-08-27,41.0,7.2
2017-08-28,53.0,6.1
2017-08-29,42.0,3.1
2017-08-30,23.0,2.7
2017-08-31,26.0,3.6
2017-09-01,30.0,4.3
2017-09-02,23.0,4.6
2017-09-03,16.0,3.9
2017-09-04,1422.0,4.0
2017-09-05,28.0,0.8
2017-09-06,25.0,3.0
2017-09-07,39.0,7.8
2017-09-08,42.0,6.1
2017-09-09,38.0,8.2
2017-09-10,28.0,8.4
2017-09-11,28.0,6.0
2017-09-12,31.0,6.6
2017-09-13,32.0,6.6
2017-09-14,46.0,7.8
2017-09-15,47.0,4.8
2017-09-16,37.0,7.7
2017-09-17,42.0,5.6
2017-09-18,28.0,7.1
2017-09-19,25.0,3.6
2017-09-20,26.0,4.0
2017-09-21,26.0,4.7
2017-09-22,29.0,4.3
2017-09-23,25.0,4.0
2017-09-24,27.0,4.5
2017-09-25,29.0,6.4
2017-09-26,32.0,4.2
2017-09-27,32.0,2.5
2017-09-28,39.0,5.9
2017-09-29,42.0,3.1
2017-09-30,26.0,4.9
2017-10-01,28.0,8.6
2017-10-02,40.0,8.9
2017-10-03,36.0,4.8
2017-10-04,22.0,4.6
2017-10-05,19.0,2.8
2017-10-07,35.0,
2017-10-08,34.0,
2017-10-09,28.0,
2017-10-10,24.0,
2017-10-11,39.0,
2017-10-12,41.0,
2017-10-13,42.0,
2017-10-14,32.0,
2017-10-15,33.0,
2017-10-16,32.0,
2017-10-17,35.0,
2017-10-18,33.0,
2017-10-19,40.0,
2017-10-20,31.0,
2017-10-24,26.0,
2017-10-25,25.0,
2017-10-26,24.0,
2017-10-27,24.0,
2017-10-28,21.0,
2017-10-29,23.0,
2017-10-30,32.0,
2017-10-31,35.0,
2017-11-01,32.0,
2017-11-02,36.0,
2017-11-03,48.0,
2017-11-04,46.0,
2017-11-05,24.0,
2017-11-06,30.0,
2017-11-07,29.0,
2017-11-08,36.0,
2017-11-09,44.0,
2017-11-10,29.0,
2017-11-11,30.0,
2017-11-12,29.0,
2017-11-13,27.0,
2017-11-14,23.0,
2017-11-15,16.0,
2017-11-16,14.0,
2017-11-17,19.0,
2017-11-18,30.0,
2017-11-19,23.0,
2017-11-20,22.0,
2017-11-21,27.0,
2017-11-22,32.0,
2017-11-23,26.0,
2017-11-24,28.0,
2017-11-25,28.0,
2017-11-26,18.0,
2017-11-27,19.0,
2017-11-28,14.0,
2017-11-29,16.0,
2017-11-30,21.0,
2017-12-01,25.0,
2017-12-02,15.0,
2017-12-03,14.0,
2017-12-04,21.0,
2017-12-05,22.0,
2017-12-06,22.0,
2017-12-07,24.0,
2017-12-08,26.0,
2017-12-09,21.0,
2017-12-10,25.0,
2017-12-11,30.0,
2017-12-12,31.0,
2017-12-13,27.0,
2017-12-14,25.0,
2017-12-15,30.0,
2017-12-16,32.0,
2017-12-17,24.0,
2017-12-18,28.0,
2017-12-19,37.0,
2017-12-20,40.0,
2017-12-21,41.0,
2017-12-22,36.0,
2017-12-23,40.0,
2017-12-24,38.0,
2017-12-25,23.0,
2017-12-26,21.0,
2017-12-27,42.0,
2017-12-28,43.0,
2017-12-29,33.0,
2017-12-30,34.0,
2017-12-31,26.0,
2018-01-01,23.0,
2018-01-02,19.0,
2018-01-03,16.0,
2018-01-04,31.0,
2018-01-05,36.0,
2018-01-06,66.0,
2018-01-07,67.0,
2018-01-08,53.0,
2018-01-09,45.0,
2018-01-10,29.0,
2018-01-11,28.0,
2018-01-12,31.0,
2018-01-13,31.0,
2018-01-14,24.0,
2018-01-15,25.0,
2018-01-16,41.0,
2018-01-17,56.0,
2018-01-18,57.0,
2018-01-19,47.0,
2018-01-20,51.0,
2018-01-21,38.0,
2018-01-22,36.0,
2018-01-23,23.0,
2018-01-24,22.0,
2018-01-25,26.0,
2018-01-26,31.0,
2018-01-27,29.0,
2018-01-28,28.0,
2018-01-29,23.0,
2018-01-30,32.0,
2018-01-31,44.0,
2018-02-01,58.0,
2018-02-02,49.0,
2018-02-03,40.0,
2018-02-04,25.0,
