Date,AQI,NO,NO2,NOx,O3,PM10,PM2.5
2019-11-14,37,1.0,9.5,9.6,61,29.5,17.4
2019-11-15,48,0.9,6.2,6.3,51,33.4,16.5
2019-11-16,47,2.7,13.1,13.3,55,41.7,19.6
2019-11-17,40,1.2,3.8,4.8,54,26.1,29.1
2019-11-18,37,0.4,4.3,4.6,77,42.2,11.6
2019-11-19,30,2.7,8.2,10.1,50,14.8,8.6
2019-11-20,31,4.8,18.8,23.1,50,22.9,19.5
2019-11-21,34,0.9,3.7,4.3,55,21.1,10.4
2019-11-22,37,2.9,5.4,8.1,44,31.6,16.6
2019-11-23,42,0.5,1.9,2.1,50,32.9,15.8
2019-11-24,54,0.2,0.9,1.1,59,30.2,27.1
2019-11-25,44,1.1,2.2,2.9,59,31.2,16.5
2019-11-26,53,1.1,7.5,8.3,77,37.5,17.9
2019-11-27,53,5.2,12.7,18.0,38,35.2,23.8
2019-11-28,2,1.0,2.2,3.2,65,38.3,22.3
2019-11-29,46,5.6,8.8,14.4,65,29.6,21.5
2019-11-30,43,1.8,5.6,6.4,53,18.9,13.5
2019-12-01,30,0.5,4.7,5.1,42,13.7,20.9
2019-12-02,21,2.4,4.4,6.5,43,20.2,8.5
2019-12-03,37,1.1,4.3,4.7,73,31.5,20.7
2019-12-04,55,3.5,11.6,15.2,87,32.6,18.8
2019-12-05,77,5.0,12.6,17.6,91,59.3,20.3
2019-12-06,110,5.2,17.5,22.7,109,78.9,26.8
2019-12-07,108,1.9,5.3,6.5,44,60.0,21.5
2019-12-08,63,1.3,6.3,6.4,79,17.6,12.8
2019-12-09,35,1.5,4.7,5.2,56,29.4,24.6
2019-12-10,36,1.5,4.6,4.9,51,33.0,9.2
2019-12-11,29,1.9,3.6,5.1,69,29.9,9.7
2019-12-12,44,2.4,4.6,5.7,60,33.8,21.1
2019-12-13,41,1.4,4.3,5.7,55,22.6,13.1
2019-12-14,28,0.3,5.4,5.5,48,17.7,11.6
2019-12-15,23,2.4,5.2,6.8,49,18.4,13.8
2019-12-16,22,6.2,10.9,16.0,47,15.6,7.9
2019-12-17,20,0.5,5.6,6.1,61,16.7,16.2
2019-12-18,45,0.0,6.8,7.8,47,43.9,26.6
2019-12-19,57,1.9,3.6,5.5,49,34.2,41.4
2019-12-20,45,0.9,5.2,5.5,42,30.0,13.7
2019-12-21,44,1.0,2.1,3.1,43,25.5,107.2
2019-12-22,43,0.4,2.8,2.9,45,23.4,12.6
2019-12-23,37,1.4,3.1,3.4,37,27.9,21.7
2019-12-24,47,0.9,6.6,7.3,46,32.0,29.8
2019-12-25,47,1.5,4.6,5.0,44,32.3,26.8
2019-12-26,39,0.9,3.5,3.9,51,27.5,18.7
2019-12-27,35,2.1,4.6,6.1,43,25.4,19.5
2019-12-28,39,0.9,1.8,2.0,45,35.9,29.7
2019-12-29,47,1.1,2.6,3.7,41,30.7,11.5
2019-12-30,39,4.4,5.3,9.7,52,32.4,28.1
2019-12-31,39,0.7,2.1,2.7,56,26.6,27.3
2020-01-01,36,0.9,6.6,6.8,42,25.5,18.2
2020-01-02,30,0.4,0.6,0.9,42,22.7,17.4
2020-01-03,44,1.2,5.6,6.3,65,39.9,21.8
2020-01-04,59,0.3,0.1,0.4,42,42.4,27.7
2020-01-05,60,0.0,2.1,2.0,49,28.4,23.0
2020-01-06,60,0.9,3.8,3.8,50,41.2,30.5
2020-01-07,61,0.8,0.5,1.2,39,39.7,23.6
2020-01-08,47,2.7,8.0,9.4,38,22.1,14.0
2020-01-09,36,2.1,9.0,11.1,34,36.1,12.7
2020-01-10,47,0.9,1.1,1.8,37,32.7,11.9
2020-01-11,44,2.6,4.9,7.4,40,20.8,12.0
2020-01-12,29,2.2,5.9,6.5,54,20.4,15.3
2020-01-13,29,5.1,9.9,15.0,37,23.6,29.5
2020-01-14,29,1.9,5.7,6.5,37,20.7,17.1
2020-01-15,24,5.3,5.6,10.9,58,35.3,12.0
2020-01-16,28,2.3,6.6,6.6,61,24.0,10.4
2020-01-17,25,1.6,5.8,6.0,50,31.5,17.0
2020-01-18,27,2.6,9.3,11.9,53,18.7,30.2
2020-01-19,27,0.9,4.1,4.3,44,18.2,10.0
2020-01-20,25,2.8,7.8,10.6,56,23.1,18.2
2020-01-21,28,0.8,2.2,2.2,49,17.9,19.0
2020-01-22,21,4.5,2.5,6.4,39,30.7,15.3
2020-01-23,26,6.9,7.9,14.8,31,59.3,8.9
2020-01-24,27,0.8,3.6,4.0,50,20.4,20.5
2020-01-25,24,0.8,5.1,6.0,58,16.1,13.9
2020-01-26,23,0.9,1.6,2.5,33,23.2,19.5
2020-01-27,23,0.8,1.7,2.5,39,22.5,13.5
2020-01-28,27,3.9,5.9,9.8,36,26.7,18.8
2020-01-29,48,0.7,2.5,2.9,26,34.2,64.3
2020-01-30,52,1.1,3.7,4.6,44,42.9,19.0
2020-01-31,40,4.6,9.0,13.5,41,31.3,43.2
2020-02-01,49,1.2,2.5,3.7,54,42.2,24.8
2020-02-02,54,0.0,0.6,0.4,47,30.0,14.3
2020-02-03,26,1.4,3.1,4.3,31,21.6,10.4
2020-02-04,24,6.9,8.9,15.8,56,31.9,17.5
2020-02-05,51,0.7,3.4,3.3,61,43.8,21.9
2020-02-06,53,4.8,9.6,14.4,43,23.2,19.2
2020-02-07,43,1.1,4.7,5.7,53,62.6,16.5
2020-02-08,50,2.9,6.5,8.3,49,32.3,0.0
2020-02-09,38,0.2,4.9,4.9,45,24.2,0.0
2020-02-10,46,5.8,12.7,18.5,46,44.9,4.8
2020-02-11,48,3.3,8.6,10.6,45,25.7,0.0
2020-02-12,30,7.1,11.7,18.3,89,32.0,0.0
2020-02-13,46,4.3,9.4,11.9,48,102.7,0.0
2020-02-14,44,3.4,8.9,11.5,84,40.4,0.5
2020-02-15,36,1.1,3.9,5.0,46,23.0,0.0
2020-02-16,32,0.0,0.8,0.7,49,18.4,0.0
2020-02-17,32,2.4,8.7,10.6,59,29.4,0.0
2020-02-18,35,2.7,7.6,9.8,65,32.4,19.9
2020-02-19,37,2.9,4.7,4.9,37,20.7,21.9
2020-02-20,31,20.7,11.3,31.9,49,21.5,17.6
2020-02-21,23,13.5,16.0,29.5,53,31.1,8.7
2020-02-22,27,2.2,7.2,9.4,43,21.2,9.0
2020-02-23,19,0.6,9.3,9.5,46,18.1,15.5
2020-02-24,20,2.5,9.2,9.6,57,24.8,6.9
2020-02-25,25,10.6,17.3,27.9,64,22.5,17.1
2020-02-26,32,9.4,14.6,24.0,68,25.4,18.3
2020-02-27,33,3.8,14.6,18.4,59,22.9,12.0
2020-02-28,27,7.7,15.0,22.7,64,24.4,14.1
2020-02-29,29,3.1,6.8,9.9,44,19.2,18.9
2020-03-01,31,0.7,5.0,5.0,54,31.5,14.6
2020-03-02,43,6.0,12.1,13.0,48,36.5,22.2
2020-03-03,38,8.4,41.9,50.3,47,22.3,18.1
2020-03-04,32,5.8,10.0,14.8,43,38.7,13.8
2020-03-05,33,1.0,5.9,6.9,51,15.5,21.0
2020-03-06,17,2.4,7.8,10.1,56,12.5,14.0
2020-03-07,17,1.8,4.5,5.4,58,18.1,19.0
2020-03-08,23,0.9,5.8,6.0,59,28.3,11.9
2020-03-09,24,3.3,16.3,18.8,47,17.3,9.2
2020-03-10,18,0.5,3.0,3.2,46,18.1,12.5
2020-03-11,15,7.8,11.7,19.5,38,40.8,13.3
2020-03-12,14,5.8,10.7,11.9,59,16.9,11.4
2020-03-13,18,10.4,13.1,18.1,50,17.3,14.5
2020-03-14,17,2.8,10.2,10.1,59,19.3,13.0
2020-03-15,22,0.6,6.6,6.5,58,19.4,15.1
2020-03-16,29,12.8,16.4,28.6,48,38.2,14.4
2020-03-17,34,0.8,8.1,8.1,49,27.8,14.2
2020-03-18,30,4.0,10.1,11.1,50,21.5,11.3
2020-03-19,28,12.1,21.8,33.9,48,21.1,16.0
2020-03-20,27,0.8,8.5,9.0,46,16.4,8.3
2020-03-21,28,8.0,13.8,18.9,49,27.3,10.9
2020-03-22,31,0.5,14.3,14.2,37,17.0,16.2
2020-03-23,39,0.1,6.2,6.1,43,250.6,8.5
2020-03-24,54,0.3,1.6,1.6,55,26.7,24.8
2020-03-25,34,6.9,11.0,17.2,45,23.2,11.7
2020-03-26,24,1.6,9.3,10.5,47,16.8,12.1
2020-03-27,21,1.6,11.0,10.9,50,23.8,10.4
2020-03-28,21,0.2,1.9,1.9,54,24.3,8.6
2020-03-29,17,1.3,3.5,4.0,53,12.4,12.5
2020-03-30,23,2.2,6.0,6.3,54,53.4,14.0
2020-03-31,23,1.4,6.6,7.0,53,15.4,7.8
2020-04-01,18,8.7,12.1,19.2,56,17.4,6.6
2020-04-02,17,2.4,11.5,12.9,45,19.6,14.3
2020-04-03,25,2.5,10.1,10.3,57,26.7,19.3
2020-04-04,26,2.9,8.0,10.3,48,16.2,9.6
2020-04-05,16,1.3,2.1,2.8,54,14.0,7.3
2020-04-06,24,1.1,7.9,7.9,53,21.4,12.6
2020-04-07,38,2.6,10.0,10.2,66,39.8,18.9
2020-04-08,40,4.1,14.2,18.3,51,25.0,15.5
2020-04-09,28,0.7,3.1,3.7,51,22.1,13.4
2020-04-10,28,0.4,4.7,4.8,50,22.6,14.0
2020-04-11,24,2.2,11.6,11.8,60,20.2,19.1
2020-04-12,24,0.6,3.1,3.1,49,16.9,12.4
2020-04-13,30,0.3,1.8,1.8,65,25.0,11.8
2020-04-14,40,0.1,0.7,0.5,57,28.0,12.9
2020-04-15,38,0.2,0.8,0.7,60,20.7,15.7
2020-04-16,24,0.1,0.3,0.2,51,15.7,8.3
2020-04-17,37,0.1,1.2,1.0,53,36.7,19.0
2020-04-18,37,-0.1,1.5,1.4,60,27.3,31.1
2020-04-19,37,-0.2,4.1,3.8,50,22.6,15.1
2020-04-20,29,1.0,8.8,9.4,50,36.1,12.2
2020-04-21,33,2.9,8.1,10.6,31,36.9,24.5
2020-04-22,34,1.2,5.2,5.7,53,31.5,13.6
2020-04-23,24,1.8,7.8,8.8,53,17.6,11.3
2020-04-24,22,3.1,6.0,9.1,52,18.2,13.6
2020-04-25,22,1.9,5.3,7.1,52,15.0,11.3
2020-04-26,30,0.4,4.3,4.2,53,30.5,25.2
2020-04-27,33,0.9,6.6,6.9,52,24.5,19.5
2020-04-28,38,1.5,8.5,8.7,57,30.8,16.4
2020-04-29,38,3.7,11.1,13.9,58,23.9,18.8
2020-04-30,34,4.4,19.7,20.3,56,25.6,11.3
2020-05-01,36,1.2,14.4,14.4,51,33.1,16.6
2020-05-02,35,1.5,7.4,8.1,53,16.4,9.6
2020-05-03,30,0.1,0.3,0.4,47,22.6,0.0
2020-05-04,31,1.3,7.6,8.5,60,29.6,0.0
2020-05-05,29,1.2,5.7,6.9,57,23.3,0.0
2020-05-06,25,0.1,3.9,3.6,55,11.0,0.0
2020-05-07,23,6.2,17.5,23.7,48,22.5,0.0
2020-05-08,28,0.5,7.4,7.6,53,25.4,0.0
2020-05-09,32,0.7,4.1,4.1,52,22.3,0.0
2020-05-10,31,0.6,4.3,4.2,47,41.9,0.0
2020-05-11,31,1.6,9.2,9.2,45,20.5,19.1
2020-05-12,30,1.7,6.6,7.9,53,14.6,13.4
2020-05-13,27,1.2,4.3,5.6,53,14.8,11.9
2020-05-14,18,2.3,10.6,12.9,50,22.5,13.4
2020-05-15,34,3.9,17.4,17.8,39,19.7,24.7
2020-05-16,33,1.3,8.7,8.5,49,22.0,12.9
2020-05-17,29,1.3,8.2,8.7,55,38.6,19.8
2020-05-18,27,2.2,6.2,7.9,50,20.8,11.4
2020-05-19,29,1.9,10.3,10.3,52,31.1,23.2
2020-05-20,28,1.0,15.6,15.5,51,20.6,12.1
2020-05-21,25,1.5,13.1,13.0,50,22.0,17.1
2020-05-22,32,2.0,11.0,10.8,53,23.8,14.5
2020-05-23,46,2.9,16.2,16.7,38,32.6,31.9
2020-05-24,50,0.4,4.9,5.3,53,22.4,15.0
2020-05-25,18,0.3,8.7,9.1,53,9.1,8.4
2020-05-26,17,2.0,12.7,14.7,44,21.1,21.0
2020-05-27,21,0.5,7.8,7.8,36,12.2,18.5
2020-05-28,30,2.6,25.6,26.9,26,24.9,15.3
2020-05-29,31,3.5,15.9,19.4,0,15.1,7.9
2020-05-30,14,1.3,2.9,4.2,0,11.0,15.5
2020-05-31,20,0.2,0.8,1.0,0,15.4,13.6
2020-06-01,13,0.3,2.3,2.5,0,10.5,9.5
2020-06-02,29,0.3,3.7,3.8,0,22.2,8.0
2020-06-03,29,8.5,14.7,23.2,0,14.8,15.5
2020-06-04,32,1.4,14.1,15.5,0,26.8,17.2
2020-06-05,31,0.8,12.3,12.2,0,15.4,17.7
2020-06-06,26,0.2,2.7,2.8,0,20.3,18.3
2020-06-07,23,2.1,2.5,2.4,0,18.4,14.0
2020-06-08,23,8.1,26.2,34.3,59,18.4,7.4
2020-06-09,21,2.3,11.2,13.2,60,19.9,12.2
2020-06-10,24,7.8,19.3,27.1,56,24.2,0.0
2020-06-11,29,7.5,19.5,25.0,57,20.8,8.0
2020-06-12,20,1.5,10.3,11.5,55,20.9,9.2
2020-06-13,26,1.7,12.7,12.7,38,21.6,12.2
2020-06-14,25,0.4,9.8,9.8,55,20.1,16.5
2020-06-15,25,3.8,14.4,17.2,62,12.3,23.9
2020-06-16,24,6.1,24.3,30.3,57,11.6,9.2
2020-06-17,14,2.9,21.0,23.9,61,14.2,9.3
2020-06-18,15,0.1,6.7,6.8,58,11.1,19.0
2020-06-19,20,6.4,23.4,27.3,67,18.9,21.8
2020-06-20,20,0.7,4.3,4.8,49,13.0,12.0
2020-06-21,13,0.1,2.1,2.0,52,11.9,12.2
2020-06-22,15,0.5,8.7,8.6,59,16.5,19.1
2020-06-23,19,1.6,7.3,7.7,55,19.9,9.6
2020-06-24,21,2.3,12.2,14.5,57,14.2,13.4
2020-06-25,15,0.6,5.6,5.7,68,7.9,16.5
2020-06-26,17,0.9,4.9,5.5,63,13.0,8.0
2020-06-27,15,0.5,4.8,4.9,62,14.3,7.0
2020-06-28,21,0.3,8.0,8.1,61,17.5,10.0
2020-06-29,24,1.2,12.7,13.1,53,23.0,12.9
2020-06-30,18,1.9,5.3,5.7,47,14.3,9.7
2020-07-01,17,1.7,12.9,12.9,54,17.0,27.6
2020-07-02,29,5.7,14.3,20.0,62,10.9,13.9
2020-07-03,26,4.0,25.5,29.5,61,37.9,24.1
2020-07-04,36,5.2,19.0,24.2,58,23.1,18.1
2020-07-05,32,0.2,3.4,3.4,67,14.2,17.8
2020-07-06,20,4.0,32.7,36.7,66,19.3,11.6
2020-07-07,28,0.6,6.6,6.3,66,24.4,28.7
2020-07-08,30,0.0,3.8,3.7,71,23.1,8.3
2020-07-09,24,1.3,7.7,7.7,64,16.7,10.5
2020-07-10,39,5.6,21.4,24.9,56,40.6,26.4
2020-07-11,44,2.5,16.0,15.9,61,16.5,18.8
2020-07-12,28,1.3,12.2,12.1,63,12.2,26.3
2020-07-13,23,3.0,18.9,20.3,61,14.5,9.0
2020-07-14,19,3.2,17.6,20.9,40,17.0,8.0
2020-07-15,16,0.3,8.3,8.6,64,10.1,16.0
2020-07-16,11,0.3,2.6,2.8,63,7.4,8.3
2020-07-17,11,0.2,2.9,3.0,62,15.2,13.3
2020-07-18,21,1.0,6.2,7.2,48,65.2,13.7
2020-07-19,25,0.2,7.2,7.3,64,23.2,25.0
2020-07-20,19,1.1,6.8,6.7,48,13.9,6.8
2020-07-21,13,4.1,14.5,18.6,63,18.7,7.9
2020-07-22,31,0.0,3.2,3.0,73,27.6,16.9
2020-07-23,38,0.1,3.2,3.1,72,29.3,27.8
2020-07-24,35,0.2,6.6,6.4,68,21.1,10.8
2020-07-25,25,1.5,7.0,8.2,69,13.3,15.6
2020-07-26,23,0.5,6.0,5.9,65,13.4,11.6
2020-07-27,21,1.8,17.4,17.2,57,23.1,8.5
2020-07-28,31,1.4,17.7,17.7,64,22.3,10.8
2020-07-29,28,3.0,14.1,14.0,64,15.2,10.2
2020-07-30,18,1.4,13.2,14.5,59,18.1,14.7
2020-07-31,21,0.4,9.2,9.6,67,20.3,16.0
2020-08-01,19,0.2,1.9,2.1,65,14.6,8.1
2020-08-02,25,0.1,1.7,1.8,65,18.4,13.9
2020-08-03,26,8.9,7.6,13.4,56,22.6,14.4
2020-08-04,25,2.6,15.6,15.9,58,25.1,13.0
2020-08-05,44,10.5,29.1,29.9,61,32.7,22.5
2020-08-06,46,5.7,22.1,27.8,58,16.6,12.9
2020-08-07,18,2.4,10.9,13.4,68,25.6,13.6
2020-08-08,21,0.7,3.3,3.2,68,17.0,10.5
2020-08-09,26,0.7,3.1,3.4,70,19.2,17.2
2020-08-10,22,6.8,22.5,29.3,63,26.6,27.6
2020-08-11,18,0.4,21.2,21.1,62,16.8,13.1
2020-08-12,28,0.9,3.6,4.3,60,27.4,19.9
2020-08-13,22,1.9,12.8,13.2,65,21.3,15.6
2020-08-14,24,0.8,8.9,8.9,58,16.6,16.7
2020-08-15,18,1.0,4.0,4.4,60,12.3,9.7
2020-08-16,24,0.5,9.5,9.7,50,25.2,20.7
2020-08-17,28,2.4,4.7,6.7,58,13.4,14.1
2020-08-18,21,0.6,3.9,4.5,66,22.8,15.4
2020-08-19,23,0.4,5.5,5.5,76,22.5,20.3
2020-08-20,32,2.4,12.3,14.7,78,35.3,24.0
2020-08-21,55,0.2,2.9,3.1,71,93.5,25.5
2020-08-22,44,0.5,4.2,4.2,66,21.2,17.6
2020-08-23,33,0.3,1.0,0.9,66,48.1,9.5
2020-08-24,28,1.3,10.6,11.7,68,20.2,12.4
2020-08-25,25,0.2,6.7,6.6,74,17.6,12.1
2020-08-26,31,0.1,0.6,0.7,71,23.6,17.2
2020-08-27,33,0.9,3.6,4.5,69,48.5,10.3
2020-08-28,25,3.9,32.2,32.4,65,34.3,9.5
2020-08-29,30,1.4,22.2,22.5,65,32.8,12.7
2020-08-30,28,0.1,5.3,5.3,67,24.0,12.5
2020-08-31,34,0.5,2.7,2.9,66,25.6,19.7
2020-09-01,31,0.9,6.3,7.2,67,29.0,11.5
2020-09-02,36,0.4,4.6,4.7,62,54.1,13.1
2020-09-03,30,0.8,3.8,3.9,54,16.0,15.3
2020-09-04,23,2.1,10.5,12.6,60,35.3,18.5
2020-09-05,20,0.3,8.5,8.5,71,27.8,15.6
2020-09-06,28,0.3,13.1,13.4,66,28.1,14.4
2020-09-07,27,0.2,2.0,2.0,62,19.9,10.0
2020-09-08,25,1.8,13.2,13.2,64,22.9,13.0
2020-09-09,28,5.2,20.3,25.5,64,22.7,6.7
2020-09-10,23,0.3,5.7,5.7,67,19.3,14.3
2020-09-11,28,0.6,7.5,7.7,61,28.6,12.2
2020-09-12,25,0.6,3.7,4.3,63,14.0,9.2
2020-09-13,24,-0.1,0.2,0.2,65,60.3,12.0
2020-09-14,27,0.2,10.1,10.0,68,17.4,20.1
2020-09-15,40,0.8,6.3,6.3,63,36.2,10.1
2020-09-16,53,0.5,4.8,4.7,66,46.4,0.0
2020-09-17,58,7.5,6.6,9.3,57,54.8,0.0
2020-09-18,48,8.0,0.8,8.6,68,31.2,0.0
2020-09-19,41,7.9,8.8,16.6,66,24.4,0.0
2020-09-20,34,8.5,8.0,15.9,57,21.7,0.0
2020-09-21,40,9.9,9.1,18.8,64,35.7,11.7
2020-09-22,39,3.5,12.6,12.8,61,14.0,12.3
2020-09-23,20,4.4,14.8,19.2,56,13.1,12.2
2020-09-24,21,2.4,9.8,12.2,59,28.6,10.7
2020-09-25,27,0.8,10.7,10.9,62,31.2,14.3
2020-09-26,28,0.9,7.8,8.7,72,20.6,10.9
2020-09-27,40,-0.1,2.8,2.7,65,41.7,27.0
2020-09-28,51,0.1,3.1,3.0,66,33.7,13.0
2020-09-29,42,0.0,0.9,0.7,70,29.2,12.7
2020-09-30,38,1.2,7.0,6.9,62,22.5,10.4
2020-10-01,28,7.7,14.9,18.4,63,17.3,12.2
2020-10-02,19,2.4,15.7,18.0,63,16.2,15.9
2020-10-03,20,1.0,4.4,4.6,60,17.2,10.7
2020-10-04,21,0.5,4.4,4.8,57,18.6,10.8
2020-10-05,27,3.6,4.3,7.9,62,24.5,17.4
2020-10-06,26,0.4,1.3,1.2,64,13.1,7.5
2020-10-07,29,1.3,3.7,4.3,63,26.2,14.8
2020-10-08,32,1.9,4.8,6.6,64,25.7,10.2
2020-10-09,22,0.6,4.9,5.4,60,40.1,11.7
2020-10-10,24,0.4,1.4,1.4,64,28.1,14.6
2020-10-11,29,0.2,0.4,0.5,61,27.1,6.6
2020-10-12,41,0.3,2.4,2.5,57,37.7,14.9
2020-10-13,39,0.7,6.1,6.3,59,23.1,16.0
2020-10-14,19,2.4,7.8,9.4,63,20.2,9.3
2020-10-15,22,1.0,6.4,6.7,45,24.4,8.9
2020-10-16,11,2.3,7.4,7.4,55,14.2,8.9
2020-10-17,22,2.9,8.5,11.4,59,14.1,16.6
2020-10-18,22,1.1,5.7,6.0,77,22.4,16.8
2020-10-19,22,2.7,10.1,12.7,47,18.8,8.9
2020-10-20,27,0.5,1.7,1.9,52,19.1,34.7
2020-10-21,28,1.5,15.2,15.7,53,59.2,12.8
2020-10-22,29,7.1,15.8,22.8,67,27.6,26.7
2020-10-23,21,5.2,14.0,19.2,57,11.4,14.9
2020-10-24,16,0.9,3.3,3.6,57,15.5,13.6
2020-10-25,15,1.1,3.2,3.2,56,9.6,16.9
2020-10-26,14,0.7,6.4,6.5,61,12.2,9.7
2020-10-27,23,2.8,7.2,10.0,45,17.4,20.3
2020-10-28,24,6.5,7.5,14.0,52,19.0,6.0
2020-10-29,24,1.5,6.1,7.6,62,53.2,9.7
2020-10-30,27,2.2,8.2,9.2,53,20.7,22.3
2020-10-31,30,0.4,2.6,2.8,55,24.8,8.4
2020-11-01,32,0.1,5.6,5.6,63,31.4,16.4
2020-11-02,20,3.1,9.9,11.9,85,21.5,11.1
2020-11-03,25,0.9,4.5,5.4,44,33.6,18.7
2020-11-04,24,0.5,3.8,4.2,46,17.2,11.5
2020-11-05,27,0.7,3.2,3.7,70,32.2,14.8
2020-11-06,20,1.3,11.9,12.3,62,36.4,26.9
2020-11-07,24,1.8,9.5,9.6,59,23.8,12.1
2020-11-08,25,1.7,4.6,6.3,59,20.4,8.8
2020-11-09,25,1.3,5.0,5.8,47,15.4,26.2
2020-11-10,16,1.8,3.2,5.0,51,16.6,13.2
2020-11-11,39,2.1,5.3,7.0,49,152.2,13.3
2020-11-12,41,0.7,2.4,3.0,44,19.2,16.2
2020-11-13,24,4.2,8.0,12.2,48,22.0,14.7
2020-11-14,22,2.8,7.1,8.9,51,90.6,8.4
2020-11-15,25,4.2,5.2,6.0,44,31.0,12.0
2020-11-16,20,3.9,6.0,9.9,47,22.7,20.0
2020-11-17,29,1.2,3.3,4.0,45,22.5,16.5
2020-11-18,31,3.4,9.1,12.5,61,25.0,9.0
2020-11-19,34,1.7,2.1,3.8,51,32.0,9.6
2020-11-20,31,2.1,6.2,8.3,51,22.7,13.6
2020-11-21,32,0.9,6.5,6.2,46,25.6,10.5
2020-11-22,37,-0.1,3.3,3.0,50,27.8,8.3
2020-11-23,36,2.5,7.6,7.8,52,23.5,20.9
2020-11-24,35,6.3,16.1,22.0,43,30.2,18.1
2020-11-25,26,0.3,2.4,2.4,59,26.2,15.6
2020-11-26,37,0.6,4.5,5.1,48,33.9,15.9
2020-11-27,34,0.2,1.0,0.8,48,33.0,15.2
2020-11-28,48,0.8,0.8,1.2,49,49.3,13.9
2020-11-29,44,0.4,2.5,2.8,51,36.1,28.1
2020-11-30,48,5.2,19.7,24.9,45,27.6,12.2
2020-12-01,38,0.7,2.8,3.1,43,30.1,15.3
2020-12-02,28,6.8,10.1,16.9,75,22.8,14.1
2020-12-03,52,2.7,1.4,4.2,45,45.9,21.4
2020-12-04,61,1.3,3.7,4.6,41,32.6,13.4
2020-12-05,45,1.4,6.6,8.0,42,80.6,21.6
2020-12-06,44,0.1,3.0,3.0,38,24.9,12.4
2020-12-07,36,1.2,5.7,6.6,38,41.4,11.6
2020-12-08,33,0.0,1.4,1.1,27,39.8,14.4
2020-12-09,26,2.5,4.8,6.6,54,24.4,10.3
2020-12-10,26,0.3,2.9,2.7,52,26.3,10.4
2020-12-11,32,0.8,1.2,2.0,41,33.2,12.7
2020-12-12,34,0.2,0.2,0.3,37,21.9,7.2
2020-12-13,38,0.4,1.2,1.2,40,30.0,13.1
2020-12-14,40,2.2,6.0,5.8,68,27.4,17.2
2020-12-15,42,1.0,6.3,6.4,53,36.3,20.1
2020-12-16,39,0.3,2.7,2.8,42,21.5,9.6
2020-12-17,28,0.9,6.7,7.7,48,26.3,12.1
2020-12-18,37,2.0,6.8,8.3,50,31.0,16.3
2020-12-19,45,4.7,13.5,18.1,73,28.9,17.7
2020-12-20,42,1.5,10.2,11.3,53,28.5,13.8
2020-12-21,34,2.4,7.1,9.2,56,20.3,18.5
2020-12-22,30,1.2,4.5,4.9,45,18.2,13.7
2020-12-23,21,2.1,6.4,8.0,46,21.8,6.8
2020-12-24,28,0.8,2.2,3.0,59,26.6,10.0
2020-12-25,44,0.3,1.0,1.2,34,37.7,18.5
2020-12-26,42,0.2,2.4,2.6,38,27.8,13.4
2020-12-27,26,4.7,2.7,7.3,37,21.6,19.8
2020-12-28,25,0.3,1.1,1.1,42,22.5,18.7
2020-12-29,31,4.4,3.4,7.9,34,27.4,17.0
2020-12-30,33,0.9,1.9,2.1,38,32.8,8.7
2020-12-31,29,1.7,4.8,5.3,58,22.5,12.7
2021-01-01,29,1.4,6.0,6.4,46,33.4,20.1
