Date,NO,NO2,NOx,PM10,PM2.5,RH,SO2
2017-03-21,33.2,29.5,62.6,24.4,13.9,80.0,1.5
2017-03-22,41.5,31.3,72.3,24.9,17.7,81.6,1.7
2017-03-23,38.8,45.3,71.6,20.9,9.3,84.5,1.6
2017-03-24,129.7,54.7,184.4,30.3,12.7,86.2,5.8
2017-03-25,13.2,21.5,34.7,17.2,10.2,89.8,11.2
2017-03-26,1.6,4.8,6.4,13.8,6.7,92.7,0.3
2017-03-27,14.7,27.0,38.3,14.6,12.3,94.4,2.0
2017-03-28,66.7,35.8,102.0,21.2,9.3,91.7,3.0
2017-03-29,23.3,41.0,62.2,17.4,17.8,92.9,1.3
2017-03-30,51.6,39.2,90.8,14.4,9.7,91.7,2.2
2017-03-31,59.9,52.3,112.1,18.2,9.3,83.8,18.5
2017-04-01,206.2,53.7,246.8,39.6,14.5,90.5,8.7
2017-04-02,1.6,15.2,16.4,9.9,16.5,93.1,0.5
2017-04-03,21.4,28.0,47.2,24.0,11.8,93.7,3.0
2017-04-04,12.5,28.4,40.8,19.7,15.5,94.5,2.3
2017-04-05,2.9,14.1,15.0,23.3,17.8,94.6,0.8
2017-04-06,21.5,37.2,56.6,21.5,13.5,76.8,1.3
2017-04-07,52.5,50.6,103.1,27.0,12.1,81.3,3.5
2017-04-08,100.1,46.4,138.5,42.0,12.4,88.4,16.5
2017-04-09,32.6,29.1,57.8,24.3,11.6,82.8,14.5
2017-04-10,69.1,51.3,120.3,28.2,9.8,87.1,3.2
2017-04-11,5.0,20.6,25.6,30.5,19.4,85.1,0.6
2017-04-12,3.5,17.8,20.1,38.6,11.8,93.1,27.0
2017-04-13,39.7,47.2,86.2,26.3,11.7,92.9,2.5
2017-04-14,4.3,17.0,18.4,27.8,17.8,90.9,5.4
2017-04-15,59.4,39.7,90.2,25.3,18.0,87.6,5.9
2017-04-16,4.5,30.7,35.3,33.0,15.9,85.5,3.6
2017-04-17,10.9,23.1,34.0,21.9,8.7,92.0,6.6
2017-04-18,101.7,49.2,148.9,29.6,10.8,86.0,13.0
2017-04-19,289.3,53.8,340.4,36.3,19.6,90.9,11.9
2017-04-20,49.9,54.9,103.5,30.1,13.5,85.1,2.9
2017-04-21,107.6,49.8,157.4,36.8,27.2,82.7,7.8
2017-04-22,74.8,41.2,104.4,30.8,15.5,86.1,10.5
2017-04-23,70.9,33.9,99.6,21.8,13.5,86.5,6.0
2017-04-24,64.3,45.2,105.3,30.8,13.3,81.5,3.6
2017-04-25,93.7,46.5,139.2,44.7,21.8,89.9,24.5
2017-04-26,219.4,65.4,268.5,39.3,25.2,90.8,10.4
2017-04-27,240.7,50.4,287.8,40.8,17.6,91.1,10.6
2017-04-28,73.8,33.8,107.6,29.9,16.6,91.9,4.3
2017-04-29,15.9,35.4,51.3,14.9,4.7,93.2,2.7
2017-04-30,9.8,12.6,22.0,21.1,20.9,92.7,3.0
2017-05-01,58.6,42.5,100.2,27.9,18.5,86.2,4.4
2017-05-02,169.2,50.3,210.7,26.7,19.6,80.4,15.3
2017-05-03,146.1,35.9,169.9,27.3,13.7,86.5,8.5
2017-05-04,32.8,35.1,66.5,26.6,16.1,88.4,1.4
2017-05-05,61.8,49.7,103.5,33.3,21.0,83.7,5.8
2017-05-06,146.4,45.0,170.0,43.0,25.8,88.0,9.1
2017-05-07,85.8,39.9,102.3,32.1,16.1,90.1,4.9
2017-05-08,231.8,48.0,251.6,36.3,20.7,89.6,9.0
2017-05-09,130.1,33.2,154.2,27.1,23.1,89.1,5.8
2017-05-10,0.0,0.0,0.0,32.5,10.3,89.3,1.0
2017-05-11,0.0,0.0,0.0,30.1,12.0,92.3,0.6
2017-05-12,22.5,33.4,55.9,21.1,12.5,93.4,11.7
2017-05-13,37.6,45.7,82.3,25.3,20.4,77.8,6.3
2017-05-14,38.2,46.4,75.7,18.1,13.2,86.5,5.0
2017-05-15,80.2,63.2,125.6,26.6,14.9,87.1,4.7
2017-05-16,89.0,46.2,134.2,29.9,19.0,86.5,5.7
2017-05-17,7.4,25.0,32.0,22.6,19.3,92.0,1.1
2017-05-18,12.0,27.4,31.3,34.5,17.4,88.6,1.3
2017-05-19,25.9,34.3,59.7,33.9,15.5,82.8,1.5
2017-05-20,10.0,21.0,30.3,28.7,16.5,80.4,1.6
2017-05-21,123.6,55.5,169.8,46.5,33.2,74.3,11.3
