AQI,Date,NO,NO2,NOx,Ozone,PM10,PM2.5,SO2,UVI
24.875,2018-01-01,26.57083333333333,28.15833333333333,54.73333333333335,26.04166666666667,11.754166666666668,5.279166666666667,1.3708333333333331,1.4060749999999993
20.666666666666668,2018-01-02,11.945833333333333,17.3125,29.279166666666654,23.125,9.862500000000002,4.5125,0.16249999999999998,2.621605555555556
17.333333333333332,2018-01-03,24.34583333333333,24.61666666666666,48.95833333333332,26.83333333333333,8.5875,3.6375,-0.5875,2.8291611111111106
23.25,2018-01-04,4.733333333333333,6.4,11.133333333333333,20.416666666666668,15.533333333333333,6.862500000000002,-0.7625000000000002,0.6636472222222217
39.333333333333336,2018-01-05,0.0,0.0,0.0,40.29166666666666,23.741666666666664,9.458333333333334,-0.31249999999999994,0.5087472222222224
58.70833333333334,2018-01-06,0.0,0.0,0.0,28.16666666666667,34.88333333333333,13.7375,0.3833333333333333,2.410381249999999
65.70833333333333,2018-01-07,0.0,0.0,0.0,32.375,29.7,11.116666666666667,0.5541666666666666,2.282902083333334
52.29166666666666,2018-01-08,0.0,0.0,0.0,25.625,23.79166666666667,8.85416666666667,0.5708333333333335,2.805217361111111
41.583333333333336,2018-01-09,0.0,0.0,0.0,20.20833333333333,16.675,6.900000000000001,0.5458333333333335,2.9003763888888887
30.66666666666667,2018-01-10,0.0,0.0,0.0,19.541666666666668,15.454166666666667,6.083333333333332,0.4874999999999999,3.0161
33.041666666666664,2018-01-11,0.0,0.0,0.0,18.20833333333333,17.266666666666666,6.679166666666666,0.0,2.5446444444444447
35.75,2018-01-12,0.0,0.0,0.0,37.04166666666666,18.191666666666666,7.691666666666667,0.0,2.8651965277777776
32.583333333333336,2018-01-13,0.0,0.0,0.0,28.91666666666667,14.641666666666667,7.270833333333332,0.5916666666666667,2.3809395833333338
26.08333333333333,2018-01-14,0.0,0.0,0.0,24.75,11.212500000000004,5.054166666666666,-0.17916666666666667,2.1821944444444448
23.91666666666667,2018-01-15,17.466666666666665,12.508333333333333,29.9625,23.375,14.0375,5.387499999999998,-0.30416666666666675,2.338814583333332
34.125,2018-01-16,12.02083333333333,17.17083333333333,29.2,32.666666666666664,20.479166666666664,7.000000000000003,0.31666666666666665,2.094372222222223
46.08333333333334,2018-01-17,16.90833333333333,20.595833333333328,37.51250000000001,33.5,25.55833333333333,9.379166666666668,0.5583333333333331,1.9799590277777783
52.0,2018-01-18,34.31250000000001,25.53333333333333,59.84583333333333,26.25,22.08333333333333,9.029166666666667,0.5874999999999999,0.4119305555555557
42.41666666666666,2018-01-19,28.529166666666665,24.4125,52.93749999999999,26.29166666666667,24.49583333333333,9.699999999999998,0.30416666666666664,2.71273125
46.16666666666666,2018-01-20,28.2125,22.941666666666674,51.14583333333334,24.33333333333333,19.858333333333327,8.170833333333334,-0.2125,2.870149305555556
38.75,2018-01-21,17.06666666666667,17.666666666666668,34.7375,20.916666666666668,18.07083333333333,7.645833333333332,-0.45,1.762254166666667
28.70833333333333,2018-01-22,58.48333333333333,30.837499999999995,89.31250000000001,20.041666666666668,12.137499999999998,5.250000000000001,-0.2708333333333333,1.0938847222222217
21.166666666666668,2018-01-23,36.14583333333333,32.79583333333333,68.95833333333333,23.45833333333333,9.4,4.225,0.016666666666666663,2.4898659722222223
21.58333333333333,2018-01-24,44.42083333333334,32.40833333333334,76.83333333333334,18.45833333333333,11.629166666666668,4.966666666666667,2.0500000000000003,2.8129055555555573
24.125,2018-01-25,57.67499999999999,39.00416666666667,96.70416666666668,23.16666666666667,13.108333333333334,6.154166666666666,0.6541666666666667,2.076817361111112
29.58333333333333,2018-01-26,58.57916666666667,50.225,108.80833333333334,32.708333333333336,16.175,7.916666666666668,1.4249999999999996,2.3429430555555553
33.25,2018-01-27,24.841666666666665,34.979166666666664,59.8125,38.0,15.187499999999998,8.4,1.0375000000000003,2.8382159722222235
28.04166666666667,2018-01-28,15.529166666666667,16.416666666666668,31.95,22.66666666666667,12.4625,5.570833333333334,0.7416666666666666,2.944314583333333
27.5,2018-01-29,15.245833333333332,13.950000000000005,29.20000000000001,19.20833333333333,14.1625,6.233333333333333,0.65,2.8328750000000005
30.54166666666667,2018-01-30,25.49583333333333,22.22083333333333,47.70833333333334,23.45833333333333,17.566666666666666,7.462500000000001,0.07499999999999997,2.5129652777777767
38.583333333333336,2018-01-31,17.774999999999995,16.862499999999994,34.65833333333334,25.16666666666667,21.95416666666667,8.070833333333333,-0.04999999999999999,2.124658333333333
57.41666666666666,2018-02-01,61.75,29.54583333333333,91.3,25.04166666666667,31.6125,12.154166666666667,0.18333333333333332,0.4562097222222224
52.875,2018-02-02,76.51249999999997,49.43333333333333,125.94583333333333,38.04166666666666,23.14583333333333,8.841666666666667,0.5375,2.35558125
37.708333333333336,2018-02-03,23.40000000000001,23.30416666666666,46.71666666666668,24.0,12.762499999999998,5.304166666666666,0.15,1.4091458333333338
22.33333333333333,2018-02-04,6.745833333333333,12.2625,19.025,27.41666666666667,12.270833333333336,4.9375,0.00833333333333333,1.2337597222222223
25.66666666666667,2018-02-05,27.98333333333333,28.10833333333333,56.08333333333334,30.41666666666667,12.079166666666666,5.045833333333333,0.5624999999999999,2.237285416666667
23.79166666666667,2018-02-06,35.995833333333344,26.92916666666666,62.925,23.375,13.087499999999995,4.825,0.2333333333333333,2.5474486111111108
33.5,2018-02-07,14.579166666666667,18.233333333333334,32.80416666666668,24.95833333333333,19.933333333333334,6.829166666666667,1.4041666666666668,2.1523284722222225
