Date,Speed,Gust,Rain,Temp,RH
2018-01-01,12.516666666666667,21.912500000000005,0.42500000000000004,19.74583333333333,84.0
2018-01-02,14.899999999999997,22.2304347826087,0.0,20.633333333333336,87.33333333333333
2018-01-03,18.674999999999997,29.382608695652173,0.008695652173913044,20.779166666666665,89.375
2018-01-04,35.72916666666667,58.16363636363636,1.5090909090909093,20.187499999999996,98.5
2018-01-05,44.29166666666666,74.21666666666667,0.42500000000000004,18.995833333333334,92.16666666666667
2018-01-06,28.39166666666667,45.05833333333333,0.016666666666666666,18.9125,83.25
2018-01-07,18.912500000000005,29.699999999999992,0.0,19.345833333333335,73.20833333333333
2018-01-08,16.82916666666667,27.308333333333334,0.0,20.025,70.08333333333333
2018-01-09,13.979166666666666,21.379166666666666,0.0,20.475000000000005,75.45833333333333
2018-01-10,17.317391304347826,28.11818181818182,0.0,20.8375,75.58333333333333
2018-01-11,15.741666666666672,23.0,0.0,21.879166666666663,74.16666666666667
2018-01-12,11.125000000000002,18.44347826086956,0.0,21.61666666666667,81.875
2018-01-13,19.1375,30.265217391304343,0.0,21.629166666666666,82.79166666666667
2018-01-14,21.90833333333333,32.40416666666667,0.0,21.695833333333336,83.0
2018-01-15,31.474999999999998,46.63181818181818,0.0,21.304166666666667,84.20833333333333
2018-01-16,39.720833333333324,58.9625,0.19166666666666665,20.079166666666662,83.29166666666667
2018-01-17,44.041666666666664,66.98695652173913,0.034782608695652174,20.458333333333332,83.20833333333333
2018-01-18,40.125,64.41739130434782,1.5739130434782607,19.508333333333336,96.875
2018-01-19,29.63333333333333,45.6875,0.03333333333333333,20.974999999999998,92.66666666666667
2018-01-20,18.754166666666666,28.995652173913047,0.0,21.766666666666666,88.91666666666667
2018-01-21,19.22083333333334,27.61304347826087,0.0,21.808333333333337,90.875
2018-01-22,15.137500000000001,25.526086956521745,0.3391304347826088,20.583333333333332,96.625
2018-01-23,9.756521739130436,17.875,0.06000000000000001,21.765217391304354,93.30434782608695
2018-01-24,14.830434782608695,23.818181818181817,0.0,22.813043478260873,80.3913043478261
2018-01-25,14.400000000000004,24.072727272727274,0.0,22.586956521739136,79.8695652173913
2018-01-26,11.050000000000002,17.687499999999996,0.0,22.537500000000005,82.08333333333333
2018-01-27,11.662500000000001,19.066666666666666,0.0,23.412500000000005,81.0
2018-01-28,20.062499999999996,30.743478260869573,0.0,23.283333333333335,75.79166666666667
2018-01-29,24.375,38.333333333333336,0.0,23.033333333333335,76.75
2018-01-30,24.76666666666667,36.4608695652174,0.0,22.09166666666667,76.83333333333333
2018-01-31,34.39166666666667,50.604545454545445,0.0,21.962499999999995,77.70833333333333
2018-02-01,44.841666666666676,69.67500000000001,1.5666666666666664,21.20416666666667,93.83333333333333
2018-02-02,21.754166666666663,35.49166666666667,0.008333333333333333,19.445833333333333,75.33333333333333
2018-02-03,23.07083333333333,36.658333333333324,0.9333333333333332,17.304166666666667,89.625
2018-02-04,26.162500000000005,44.06249999999999,0.5666666666666667,18.066666666666666,88.83333333333333
2018-02-05,14.754166666666665,23.84583333333333,0.008333333333333333,20.82916666666667,81.25
2018-02-06,19.491304347826084,28.613636363636363,0.0,19.691666666666666,72.29166666666667
2018-02-07,26.316666666666666,42.14166666666667,0.0,20.429166666666667,72.54166666666667
2018-02-08,39.574999999999996,60.42916666666667,0.0,19.187499999999996,68.79166666666667
2018-02-09,30.854166666666668,48.61249999999999,0.6,18.3875,94.58333333333333
2018-02-10,27.54166666666667,41.43333333333334,0.8416666666666667,20.74166666666666,99.0
2018-02-11,33.72083333333334,49.93333333333334,1.9666666666666668,21.283333333333335,99.0
2018-02-12,15.129166666666665,24.625000000000004,0.0,22.008333333333336,97.83333333333333
2018-02-13,20.691666666666666,33.324999999999996,0.5666666666666665,21.54583333333333,99.0
2018-02-14,14.595833333333339,25.6125,0.37499999999999994,21.708333333333332,95.75
2018-02-15,12.116666666666669,20.83333333333333,0.06666666666666667,21.77916666666667,81.125
2018-02-16,12.283333333333331,20.141666666666666,0.0,21.75,83.70833333333333
2018-02-17,17.6,26.70416666666667,0.0,22.200000000000003,91.29166666666667
2018-02-18,11.29166666666667,19.00869565217391,0.0,22.629166666666666,92.95833333333333
2018-02-19,13.5875,23.150000000000002,0.0,23.004166666666666,92.25
2018-02-20,29.630434782608695,50.09545454545455,0.19999999999999998,22.558333333333334,89.54166666666667
2018-02-21,22.233333333333338,35.025,0.09166666666666666,19.8875,80.54166666666667
2018-02-22,23.604166666666668,38.04166666666667,0.10833333333333335,18.224999999999998,80.0
2018-02-23,16.9,26.391666666666666,0.0,18.85,75.125
2018-02-24,13.204166666666667,20.529166666666665,0.0,19.729166666666664,71.25
2018-02-25,9.512500000000001,15.829166666666666,0.0,20.250000000000004,73.20833333333333
2018-02-26,17.979166666666668,26.312500000000004,0.0,20.158333333333328,72.125
2018-02-27,18.608333333333334,28.858333333333338,0.0,20.51666666666667,86.08333333333333
2018-02-28,37.09583333333334,56.03333333333333,0.016666666666666666,20.525000000000002,81.41666666666667
2018-03-01,32.39583333333332,53.56666666666667,0.025000000000000005,20.441666666666663,88.66666666666667
2018-03-02,29.933333333333334,49.62173913043478,0.017391304347826087,21.145833333333336,86.0
2018-03-03,32.791666666666664,52.228571428571435,0.0,21.116666666666664,79.16666666666667
2018-03-04,23.075,37.733333333333334,0.0,21.14166666666667,81.625
2018-03-05,11.583333333333336,17.638095238095236,0.0,21.90833333333333,79.375
2018-03-06,9.975,16.058333333333337,0.0,21.787499999999998,85.625
