Date(NZST),RH(%),Tmax(C),Tmin(C),Dir(DegT),Speed(m/s)
2019-12-16,96.0,18.8,16.2,11,4.3
2019-12-17,100.0,19.1,16.9,27,16.3
2019-12-18,92.0,18.7,12.7,252,15.6
2019-12-19,64.0,15.9,12.9,224,6.8
2019-12-20,91.0,16.9,13.6,299,8.2
2019-12-21,66.0,17.6,11.4,181,6.8
2019-12-22,67.0,16.3,10.6,179,9.8
2019-12-23,87.0,16.4,11.9,199,12.3
2019-12-24,100.0,16.6,14.2,195,5.1
2019-12-25,88.0,19.2,13.9,233,2.7
2019-12-26,88.0,18.8,13.8,252,3.0
2019-12-27,81.0,19.4,14.2,210,6.5
2019-12-28,83.0,16.9,13.8,204,11.6
2019-12-29,68.0,15.7,12.4,218,6.2
2019-12-30,93.0,15.8,13.5,250,7.8
2019-12-31,81.0,18.1,14.3,201,5.0
2020-01-01,91.0,21.2,14.8,296,1.7
