Date,capped_scale
2018-08-10,83.74249999999999
2018-08-11,117.285
2018-08-12,56.1
2018-08-13,58.74
2018-08-14,63.7
2018-08-15,48.3
2018-08-16,88.33000000000001
2018-08-17,67.58500000000001
2018-08-18,54.325
2018-08-19,37.72
2018-08-20,64.68
2018-08-21,67.81
2018-08-22,62.2675
2018-08-23,109.2325
2018-08-24,55.2475
2018-08-25,71.75
2018-08-26,35.2
2018-08-27,84.63
2018-08-28,108.30250000000001
2018-08-29,41.43
2018-08-30,90.8275
2018-08-31,44.64
2018-09-01,59.51000000000001
2018-09-02,53.55
2018-09-03,28.139999999999993
2018-09-04,36.82
2018-09-05,8.31
2018-09-06,62.51
2018-09-07,20.4
2018-09-08,0.0
2018-09-09,0.0
2018-09-10,88.45250000000001
2018-09-11,59.239999999999995
2018-09-12,69.18
2018-09-13,52.614999999999995
2018-09-14,74.27
2018-09-15,14.000000000000002
2018-09-16,74.72999999999999
2018-09-17,69.9025
2018-09-18,37.3875
2018-09-19,75.7425
2018-09-20,91.5725
2018-09-21,31.0
2018-09-22,68.8475
2018-09-23,103.92999999999999
2018-09-24,65.19
2018-09-25,92.3075
2018-09-26,64.41
2018-09-27,105.86250000000001
2018-09-28,13.11
2018-09-29,81.845
2018-09-30,41.85
2018-10-01,95.93750000000001
2018-10-02,77.745
2018-10-03,112.85500000000002
2018-10-04,70.98
2018-10-05,87.225
2018-10-06,71.665
2018-10-07,79.2
2018-10-08,24.080000000000002
2018-10-09,26.34
2018-10-10,82.4825
2018-10-11,84.52
2018-10-12,116.6225
2018-10-13,109.8425
2018-10-14,34.550000000000004
2018-10-15,61.779999999999994
2018-10-16,77.24000000000001
2018-10-17,104.39250000000001
2018-10-18,84.8
2018-10-19,17.02
2018-10-20,0.0
2018-10-21,53.78
2018-10-22,33.96
2018-10-23,36.7775
2018-10-24,74.11999999999999
2018-10-25,47.05000000000001
2018-10-26,18.86
2018-10-27,34.737500000000004
2018-10-28,51.75
2018-10-29,71.82
2018-10-30,23.76
2018-10-31,71.21000000000001
2018-11-01,28.98
2018-11-02,49.09
2018-11-03,31.262500000000006
2018-11-04,63.2775
2018-11-05,112.68000000000002
2018-11-06,59.9275
2018-11-07,62.760000000000005
2018-11-08,2.0
2018-11-09,16.12
2018-11-10,78.0825
2018-11-11,43.41
2018-11-12,90.72
2018-11-13,28.619999999999997
2018-11-14,126.76249999999999
2018-11-15,63.30250000000001
2018-11-16,94.59250000000002
2018-11-17,51.642500000000005
2018-11-18,63.17
2018-11-19,32.1
2018-11-20,106.99000000000001
2018-11-21,18.36
2018-11-22,80.065
2018-11-23,7.4
2018-11-24,35.410000000000004
2018-11-25,56.05
2018-11-26,74.965
2018-11-27,61.89
2018-11-28,0.0
2018-11-29,38.76
2018-11-30,53.71000000000001
2018-12-01,40.03
2018-12-02,15.0
2018-12-03,67.0
2018-12-04,22.520000000000003
2018-12-05,39.574999999999996
2018-12-06,87.935
2018-12-07,9.18
2018-12-08,0.0
2018-12-09,14.76
2018-12-10,9.36
2018-12-11,37.46
2018-12-12,4.8100000000000005
2018-12-13,47.14
2018-12-14,17.8
2018-12-15,142.44
2018-12-16,78.12
2018-12-17,14.26
2018-12-18,11.650000000000002
2018-12-19,39.019999999999996
2018-12-20,71.41
2018-12-21,55.37
2018-12-22,61.51
2018-12-23,45.0
2018-12-24,0.0
2018-12-25,50.4
2018-12-26,21.6
2018-12-27,21.0
2018-12-28,0.0
2018-12-29,49.45
2018-12-30,8.91
2018-12-31,0.0
2019-01-01,7.56
2019-01-02,35.900000000000006
2019-01-03,12.38
2019-01-04,30.03
2019-01-05,7.56
2019-01-06,37.13
2019-01-07,31.110000000000003
2019-01-08,47.06999999999999
2019-01-09,57.989999999999995
2019-01-10,10.79
2019-01-11,5.31
2019-01-12,29.86
2019-01-13,39.620000000000005
2019-01-14,67.62
2019-01-15,85.94999999999999
2019-01-16,31.87
2019-01-17,31.61
2019-01-18,27.21
2019-01-19,62.0
2019-01-20,27.57
2019-01-21,22.090000000000003
2019-01-22,64.18
2019-01-23,56.230000000000004
2019-01-24,70.26499999999999
2019-01-25,0.0
2019-01-26,12.0
2019-01-27,92.09
2019-01-28,94.07250000000002
2019-01-29,37.87
2019-01-30,29.099999999999998
2019-01-31,43.650000000000006
2019-02-01,71.21000000000001
2019-02-02,44.32
2019-02-03,23.29
2019-02-04,13.079999999999998
2019-02-05,26.46
2019-02-06,36.43
2019-02-07,0.0
2019-02-08,25.990000000000002
2019-02-09,12.48
2019-02-10,90.12
2019-02-11,43.64
2019-02-12,128.8125
2019-02-13,54.66
2019-02-14,109.27250000000001
2019-02-15,37.602500000000006
2019-02-16,48.487500000000004
2019-02-17,97.30250000000001
2019-02-18,72.16
2019-02-19,123.555
2019-02-20,123.9375
2019-02-21,61.3625
2019-02-22,107.5925
2019-02-23,72.72
2019-02-24,80.05250000000002
2019-02-25,57.4
2019-02-26,90.19999999999999
2019-02-27,37.32
2019-02-28,69.00750000000001
2019-03-01,53.96
2019-03-02,24.48
2019-03-03,29.58
2019-03-04,67.75
2019-03-05,16.32
2019-03-06,43.04
2019-03-07,71.77250000000001
2019-03-08,14.26
2019-03-09,0.0
2019-03-10,46.0
2019-03-11,17.28
2019-03-12,116.98250000000002
2019-03-13,82.35250000000002
2019-03-14,149.47250000000003
2019-03-15,31.28
2019-03-16,52.8
2019-03-17,38.785
2019-03-18,0.0
2019-03-19,11.52
2019-03-20,33.24250000000001
2019-03-21,29.91
2019-03-22,57.42
2019-03-23,37.370000000000005
2019-03-24,68.26
2019-03-25,30.85
2019-03-26,42.8
2019-03-27,54.03
2019-03-28,132.33250000000004
2019-03-29,104.02250000000001
2019-03-30,27.52
2019-03-31,88.07500000000002
2019-04-01,82.07
2019-04-02,87.26999999999998
2019-04-03,76.285
2019-04-04,99.97749999999999
2019-04-05,19.95
2019-04-06,101.83
2019-04-07,85.10000000000001
2019-04-08,21.0
2019-04-09,69.00000000000001
2019-04-10,46.4375
2019-04-11,35.92
2019-04-12,11.84
2019-04-13,40.879999999999995
2019-04-14,27.12
2019-04-15,38.769999999999996
2019-04-16,36.0
2019-04-17,4.29
2019-04-18,14.4
2019-04-19,68.07
2019-04-20,43.13499999999999
2019-04-21,38.362500000000004
2019-04-22,55.212500000000006
2019-04-23,73.45250000000001
2019-04-24,26.18
2019-04-25,35.09
2019-04-26,47.84
2019-04-27,34.32
2019-04-28,91.6975
2019-04-29,66.05250000000001
2019-04-30,90.39
2019-05-01,59.322500000000005
2019-05-02,105.4225
2019-05-03,43.1225
2019-05-04,79.7
2019-05-05,77.85250000000002
2019-05-06,78.22250000000003
2019-05-07,31.310000000000002
2019-05-08,111.96000000000001
2019-05-09,62.489999999999995
2019-05-10,28.009999999999998
2019-05-11,74.8675
2019-05-12,52.839999999999996
2019-05-13,139.7
2019-05-14,53.8
2019-05-15,43.94749999999999
2019-05-16,100.38
2019-05-17,41.04
2019-05-18,143.82999999999998
2019-05-19,51.30250000000001
2019-05-20,78.17500000000001
2019-05-21,25.22
2019-05-22,105.75000000000001
2019-05-23,103.9175
2019-05-24,32.20250000000001
2019-05-25,32.17
2019-05-26,36.6775
2019-05-27,66.485
2019-05-28,48.39
2019-05-29,93.535
2019-05-30,113.2775
2019-05-31,115.00999999999999
2019-06-01,27.48
2019-06-02,10.05
2019-06-03,112.77999999999999
2019-06-04,73.7075
2019-06-05,80.5275
2019-06-06,243.885
2019-06-07,92.71000000000002
2019-06-08,89.93
2019-06-09,99.97
2019-06-10,140.525
2019-06-11,76.76
2019-06-12,79.85999999999999
2019-06-13,40.68000000000001
2019-06-14,52.44
2019-06-15,118.395
2019-06-16,185.24
2019-06-17,126.01
2019-06-18,237.2625
2019-06-19,121.38000000000001
2019-06-20,60.65
2019-06-21,60.68000000000001
2019-06-22,91.13
2019-06-23,79.63000000000001
2019-06-24,45.910000000000004
2019-06-25,37.30000000000001
2019-06-26,25.650000000000006
2019-06-27,99.6825
2019-06-28,65.53
2019-06-29,26.92
2019-06-30,76.08500000000001
2019-07-01,143.7025
2019-07-02,175.14499999999998
2019-07-03,155.685
2019-07-04,60.427499999999995
2019-07-05,63.019999999999996
2019-07-06,191.76500000000001
2019-07-07,0.0
2019-07-08,54.325
2019-07-09,85.33
2019-07-10,149.805
2019-07-11,8.64
2019-07-12,81.52
2019-07-13,121.91
2019-07-14,78.38
2019-07-15,58.050000000000004
2019-07-16,91.32
2019-07-17,132.375
2019-07-18,63.18
2019-07-19,126.14000000000001
2019-07-20,75.44
2019-07-21,98.49000000000001
2019-07-22,38.74
2019-07-23,53.06
2019-07-24,24.48
2019-07-25,62.54
2019-07-26,9.84
2019-07-27,55.620000000000005
2019-07-28,16.72
2019-07-29,144.385
2019-07-30,76.395
2019-07-31,60.14
2019-08-01,89.29
2019-08-02,111.055
2019-08-03,53.550000000000004
2019-08-04,100.2225
2019-08-05,63.53
2019-08-06,10.8
2019-08-07,87.53000000000002
2019-08-08,115.47000000000001
2019-08-09,8.32
2019-08-10,90.775
2019-08-11,101.555
2019-08-12,84.565
2019-08-13,100.875
2019-08-14,98.98
2019-08-15,88.85
2019-08-16,94.32499999999999
2019-08-17,88.37
2019-08-18,54.33
2019-08-19,76.14000000000001
2019-08-20,120.92000000000002
2019-08-21,78.4
2019-08-22,23.08
2019-08-23,40.17
2019-08-24,56.32000000000001
2019-08-25,135.39249999999998
2019-08-26,75.35249999999999
2019-08-27,44.79
2019-08-28,54.779999999999994
2019-08-29,109.8725
2019-08-30,93.51249999999999
2019-08-31,47.34
2019-09-01,62.4075
2019-09-02,123.99249999999999
2019-09-03,74.36
2019-09-04,64.00750000000001
2019-09-05,120.0575
2019-09-06,58.3625
2019-09-07,63.98
2019-09-08,45.129999999999995
2019-09-09,152.3575
2019-09-10,166.62750000000003
2019-09-11,208.7475
2019-09-12,104.56000000000002
2019-09-13,84.28
2019-09-14,89.7
2019-09-15,133.7375
2019-09-16,211.94500000000002
2019-09-17,147.19
2019-09-18,66.39250000000001
2019-09-19,30.89
2019-09-20,59.597500000000004
2019-09-21,61.11
2019-09-22,70.46
2019-09-23,50.72
2019-09-24,177.66750000000002
2019-09-25,114.69
2019-09-26,117.82999999999998
2019-09-27,75.4
2019-09-28,106.78999999999999
2019-09-29,80.60249999999999
2019-09-30,60.9
2019-10-01,82.53999999999999
2019-10-02,49.84
2019-10-03,42.28
2019-10-04,39.28
2019-10-05,73.78
2019-10-06,78.42
2019-10-07,63.74
2019-10-08,35.120000000000005
2019-10-09,22.52
2019-10-10,39.07
2019-10-11,115.66250000000001
2019-10-12,23.6
2019-10-13,104.92
2019-10-14,57.59
2019-10-15,33.56
2019-10-16,119.5975
2019-10-17,63.620000000000005
2019-10-18,40.8
2019-10-19,84.86
2019-10-20,85.22
2019-10-21,68.67
2019-10-22,82.74000000000001
2019-10-23,69.8125
2019-10-24,84.89000000000001
2019-10-25,100.91
2019-10-26,6.4
2019-10-27,53.89
2019-10-28,45.6
2019-10-29,102.7075
2019-10-30,62.2175
2019-10-31,43.599999999999994
2019-11-01,47.129999999999995
2019-11-02,45.89
2019-11-03,64.6025
2019-11-04,60.38
2019-11-05,75.89250000000001
2019-11-06,110.7
2019-11-07,70.73
2019-11-08,69.11500000000001
2019-11-09,0.0
2019-11-10,66.9125
2019-11-11,72.2975
2019-11-12,95.97000000000001
2019-11-13,130.07
2019-11-14,61.032500000000006
2019-11-15,44.95
2019-11-16,68.22
2019-11-17,16.52
2019-11-18,60.62250000000001
2019-11-19,24.5
2019-11-20,88.5325
2019-11-21,36.74
2019-11-22,24.6
2019-11-23,64.55499999999999
2019-11-24,66.47
2019-11-25,81.555
2019-11-26,35.91250000000001
2019-11-27,105.59
2019-11-28,75.61
2019-11-29,64.67
2019-11-30,97.87
2019-12-01,27.58
2019-12-02,87.03999999999999
2019-12-03,74.6
2019-12-04,80.43
2019-12-05,58.42999999999999
2019-12-06,29.52
2019-12-07,87.61250000000001
2019-12-08,18.700000000000003
2019-12-09,30.36
2019-12-10,32.75
2019-12-11,33.92
2019-12-12,21.46
2019-12-13,0.0
2019-12-14,30.049999999999997
2019-12-15,36.76
2019-12-16,3.36
2019-12-17,72.63
2019-12-18,8.84
2019-12-19,10.29
2019-12-20,50.83250000000001
2019-12-21,22.48
2019-12-22,7.92
2019-12-23,0.0
2019-12-24,40.83
2019-12-25,75.82
2019-12-26,73.58
2019-12-27,86.73249999999999
2019-12-28,80.52
2019-12-29,37.05
2019-12-30,0.0
2019-12-31,8.4
2020-01-01,54.325
2020-01-02,42.09
2020-01-03,56.63999999999999
2020-01-04,40.19
2020-01-05,75.3525
2020-01-06,45.96
2020-01-07,29.259999999999998
2020-01-08,23.66
2020-01-09,84.26250000000002
2020-01-10,29.580000000000002
2020-01-11,72.37
2020-01-12,6.65
2020-01-13,25.84
2020-01-14,65.475
2020-01-15,27.54
2020-01-16,25.66
2020-01-17,27.09
2020-01-18,20.9
2020-01-19,0.0
2020-01-20,25.28
2020-01-21,23.520000000000003
2020-01-22,25.92
2020-01-23,53.58
2020-01-24,21.84
2020-01-25,17.360000000000007
2020-01-26,47.6075
2020-01-27,90.9875
2020-01-28,77.8275
2020-01-29,71.13
2020-01-30,16.41
2020-01-31,50.75
2020-02-01,39.2975
2020-02-02,38.47999999999999
2020-02-03,111.38
2020-02-04,74.38000000000001
2020-02-05,32.66
2020-02-06,93.8325
2020-02-07,25.92
2020-02-08,51.379999999999995
2020-02-09,72.73
2020-02-10,61.550000000000004
2020-02-11,33.14
2020-02-12,83.45
2020-02-13,62.93000000000001
2020-02-14,23.46
2020-02-15,110.26250000000002
2020-02-16,54.839999999999996
2020-02-17,34.4
2020-02-18,56.0
2020-02-19,22.8
2020-02-20,65.77000000000001
2020-02-21,46.36
2020-02-22,47.0
2020-02-23,16.79
2020-02-24,58.86
2020-02-25,80.5125
2020-02-26,101.72
2020-02-27,79.36999999999999
2020-02-28,27.36
2020-02-29,110.9325
2020-03-01,57.31999999999999
2020-03-02,60.379999999999995
2020-03-03,52.01
2020-03-04,108.26249999999999
2020-03-05,95.19999999999999
2020-03-06,31.347500000000004
2020-03-07,19.200000000000006
2020-03-08,105.11000000000001
2020-03-09,105.2275
2020-03-10,86.41
2020-03-11,155.2925
2020-03-12,68.72
2020-03-13,80.78
2020-03-14,91.08250000000001
2020-03-15,200.18749999999997
2020-03-16,218.235
2020-03-17,81.14750000000001
2020-03-18,128.2425
2020-03-19,101.555
2020-03-20,151.1525
2020-03-21,191.7375
2020-03-22,116.0775
2020-03-23,151.33499999999998
2020-03-24,133.675
2020-03-25,119.29250000000002
2020-03-26,127.6025
2020-03-27,93.13
2020-03-28,98.0125
2020-03-29,111.98750000000001
2020-03-30,131.6875
2020-03-31,93.8575
2020-04-01,151.1575
2020-04-02,82.41
2020-04-03,137.5375
2020-04-04,116.7625
2020-04-05,99.0225
2020-04-06,72.2525
2020-04-07,87.76
2020-04-08,82.33000000000001
2020-04-09,76.9525
2020-04-10,40.54
2020-04-11,78.10750000000002
2020-04-12,84.315
2020-04-13,42.209999999999994
2020-04-14,92.73
2020-04-15,91.57
2020-04-16,85.02000000000001
2020-04-17,34.65
2020-04-18,47.95
2020-04-19,164.2625
2020-04-20,167.7775
2020-04-21,147.1825
2020-04-22,133.67
2020-04-23,165.7175
2020-04-24,84.2825
2020-04-25,86.21000000000001
2020-04-26,39.8
2020-04-27,73.53
2020-04-28,80.16999999999999
2020-04-29,47.13999999999999
2020-04-30,119.0125
2020-05-01,40.86
2020-05-02,39.66250000000001
2020-05-03,45.15
2020-05-04,81.43250000000002
2020-05-05,104.13
2020-05-06,97.62
2020-05-07,50.26
2020-05-08,109.065
2020-05-09,162.6325
2020-05-10,79.01
2020-05-11,59.4525
2020-05-12,158.87
2020-05-13,77.16
2020-05-14,27.26
2020-05-15,5.4
2020-05-16,110.05000000000001
2020-05-17,81.4
2020-05-18,120.1325
2020-05-19,75.85249999999999
2020-05-20,75.1
2020-05-21,87.65
2020-05-22,74.59
2020-05-23,76.60249999999999
2020-05-24,142.9
2020-05-25,106.71000000000001
2020-05-26,99.1825
2020-05-27,111.49000000000001
2020-05-28,94.37000000000002
2020-05-29,131.13
2020-05-30,91.2
2020-05-31,87.08
2020-06-01,115.185
2020-06-02,102.78000000000002
2020-06-03,47.129999999999995
2020-06-04,47.900000000000006
2020-06-05,44.88250000000001
2020-06-06,86.87
2020-06-07,73.28999999999999
2020-06-08,174.19750000000002
2020-06-09,47.16
2020-06-10,101.77749999999999
2020-06-11,106.14250000000001
2020-06-12,41.09
2020-06-13,88.53999999999999
2020-06-14,139.45
2020-06-15,109.79
2020-06-16,101.42
2020-06-17,98.11000000000001
2020-06-18,83.5275
2020-06-19,134.7975
2020-06-20,73.12
2020-06-21,70.795
2020-06-22,111.5325
2020-06-23,112.0075
2020-06-24,129.29749999999999
2020-06-25,199.1775
2020-06-26,88.05
2020-06-27,57.519999999999996
2020-06-28,124.7
2020-06-29,87.65
2020-06-30,37.0
2020-07-01,170.695
2020-07-02,54.28
2020-07-03,44.5
2020-07-04,42.22
