Date,AQI,NO,NO2,NOx,PM10,PM2.5,Temp,WS
2017-04-17,32.0,98.3,63.0,161.3,18.7,8.9,,
2017-04-18,36.0,162.6,73.0,235.6,19.1,6.4,,
2017-04-19,44.0,342.5,87.3,429.8,28.8,9.3,,
2017-04-20,56.0,241.3,113.3,354.5,20.7,9.2,,
2017-04-21,30.0,61.9,46.4,105.1,19.6,7.1,,
2017-04-22,33.0,35.6,41.8,76.4,20.1,9.5,,
2017-04-23,31.0,14.2,31.4,43.0,11.6,6.4,,
2017-04-24,42.0,107.9,85.3,182.3,19.2,8.7,,
2017-04-25,31.0,71.8,63.3,130.5,15.4,8.6,,
2017-04-26,57.0,388.9,110.2,499.1,40.9,13.8,,
2017-04-27,47.0,194.6,95.1,289.2,28.0,11.5,,
2017-04-28,63.0,166.0,128.0,273.1,26.5,8.3,,
2017-04-29,48.0,114.4,97.4,211.8,18.5,8.4,,
2017-04-30,34.0,121.2,68.9,190.1,25.0,10.6,,
2017-05-01,34.0,103.8,58.5,162.4,21.5,9.3,,
2017-05-02,45.0,147.9,84.6,217.9,33.1,14.1,,
2017-05-03,66.0,323.4,128.2,411.4,35.6,12.4,,
2017-05-04,41.0,150.2,86.5,236.7,29.8,7.7,,
2017-05-05,54.0,206.0,97.5,296.7,32.5,17.3,,
2017-05-06,55.0,204.0,74.9,253.6,40.5,21.3,,
2017-05-07,56.0,192.9,98.7,291.6,37.4,25.0,,
2017-05-08,52.0,321.0,100.0,421.0,32.3,12.3,,
2017-05-09,54.0,403.1,99.1,498.6,48.2,17.1,,
2017-05-10,24.0,68.7,43.3,112.1,16.1,6.3,,
2017-05-11,44.0,95.7,71.2,166.9,31.8,13.3,,
2017-05-12,49.0,98.0,77.9,169.0,26.4,13.3,,
2017-05-13,44.0,140.7,83.5,224.3,19.8,10.4,,
2017-05-14,26.0,75.1,63.4,137.7,20.3,6.7,,
2017-05-15,41.0,216.1,102.9,300.7,19.4,9.9,,
2017-05-16,41.0,174.4,75.7,250.1,17.5,7.8,,
2017-05-17,62.0,131.8,120.1,243.8,30.3,11.2,,
2017-05-18,63.0,232.5,115.3,342.2,36.1,14.7,,
2017-05-19,60.0,280.3,116.2,394.0,38.1,14.7,,
2017-05-20,50.0,152.7,80.1,204.5,30.5,11.6,,
2017-05-21,41.0,83.2,61.0,136.6,88.8,14.0,,
2017-05-22,50.0,470.3,90.9,552.3,37.6,27.1,,
2017-05-23,80.0,390.3,153.2,455.6,52.3,26.5,,
2017-05-24,74.0,307.9,141.3,449.1,34.0,8.8,,
2017-05-25,40.0,319.2,72.1,391.3,24.0,12.1,,
2017-05-26,26.0,32.3,43.7,76.0,17.1,7.7,,
2017-05-27,44.0,171.7,82.5,252.9,20.7,14.0,,
2017-05-28,34.0,127.2,59.5,176.6,20.4,13.5,,
2017-05-29,42.0,138.2,80.1,196.2,20.0,12.6,,
2017-05-30,72.0,286.9,140.6,380.9,23.2,9.7,,
2017-05-31,44.0,226.7,84.7,295.7,20.3,11.1,,
2017-06-01,42.0,302.5,76.8,379.3,36.2,13.6,,
2017-06-02,27.0,13.3,26.9,40.1,10.0,4.5,,
2017-06-03,32.0,100.9,60.5,161.4,16.9,7.4,,
2017-06-04,42.0,132.9,80.3,192.5,18.4,9.0,,
2017-06-05,40.0,122.0,77.9,199.9,19.2,10.7,,
2017-06-06,57.0,298.5,110.8,392.5,29.3,20.2,,
