Date(NZST),Tmax(C),Tmin(C)
2017-07-31,13.6,0.2
2017-08-01,14.0,4.9
2017-08-02,17.2,9.0
2017-08-03,16.4,10.7
2017-08-04,14.7,2.3
2017-08-05,15.0,2.5
2017-08-06,15.4,6.2
2017-08-07,17.0,12.6
2017-08-08,19.5,12.0
2017-08-09,17.8,14.3
2017-08-10,16.0,11.1
2017-08-11,17.0,7.4
2017-08-12,16.6,10.6
2017-08-13,18.0,7.2
2017-08-14,17.9,9.8
2017-08-15,15.4,6.8
2017-08-16,16.0,8.3
2017-08-17,16.8,8.5
2017-08-18,16.9,8.3
2017-08-19,16.8,10.0
2017-08-20,17.0,10.3
2017-08-21,16.6,10.3
2017-08-22,15.9,5.1
2017-08-23,16.1,1.7
2017-08-24,16.4,3.2
2017-08-25,16.9,4.9
2017-08-26,17.0,7.7
2017-08-27,17.4,12.6
2017-08-28,16.8,13.6
2017-08-29,17.4,8.3
2017-08-30,19.1,7.4
2017-08-31,17.4,11.4
2017-09-01,19.0,7.6
2017-09-02,17.4,11.6
2017-09-03,16.5,10.1
2017-09-04,15.8,7.2
2017-09-05,17.8,9.1
2017-09-06,18.2,12.6
2017-09-07,16.0,12.3
2017-09-08,17.4,9.8
2017-09-09,17.0,11.5
2017-09-10,14.6,6.5
2017-09-11,13.8,7.2
2017-09-12,13.9,7.7
2017-09-13,15.7,8.6
2017-09-14,17.4,13.4
2017-09-15,18.9,12.2
2017-09-16,21.0,11.9
2017-09-17,17.4,6.0
2017-09-18,18.8,8.6
2017-09-19,14.0,8.6
2017-09-20,16.6,4.0
2017-09-21,19.0,11.3
2017-09-22,17.7,8.5
2017-09-23,16.6,10.2
2017-09-24,17.9,10.3
2017-09-25,18.9,12.5
2017-09-26,18.8,14.4
2017-09-27,19.4,12.0
2017-09-28,19.4,9.9
2017-09-29,19.5,7.7
2017-09-30,18.1,9.8
2017-10-01,17.9,9.5
2017-10-02,15.9,10.3
2017-10-03,16.4,11.5
2017-10-04,18.2,11.9
2017-10-05,18.4,11.8
2017-10-06,18.9,10.3
2017-10-07,19.6,12.0
2017-10-08,18.4,13.6
2017-10-09,20.1,13.6
2017-10-10,18.8,13.4
2017-10-11,18.7,13.1
2017-10-12,17.3,10.3
2017-10-13,18.4,9.3
2017-10-14,18.0,13.4
2017-10-15,21.5,8.6
2017-10-16,18.0,10.0
2017-10-17,18.4,12.1
2017-10-18,17.7,11.6
2017-10-19,17.3,6.0
2017-10-20,17.2,12.0
2017-10-21,17.2,12.1
2017-10-22,17.8,13.2
2017-10-23,17.4,11.5
2017-10-24,18.6,7.2
2017-10-25,19.7,12.0
2017-10-26,18.0,12.9
2017-10-27,19.6,15.2
2017-10-28,19.2,15.1
2017-10-29,19.6,15.4
2017-10-30,21.5,15.1
2017-10-31,20.7,12.4
2017-11-01,21.5,14.2
2017-11-02,21.1,14.9
2017-11-03,20.8,15.8
2017-11-04,21.4,16.4
2017-11-05,20.5,13.4
2017-11-06,22.6,11.1
2017-11-07,19.2,6.3
2017-11-08,19.1,14.4
2017-11-09,18.9,9.6
2017-11-10,18.9,10.8
2017-11-11,17.9,11.7
2017-11-12,18.8,9.1
2017-11-13,18.8,7.2
2017-11-14,20.7,10.1
2017-11-15,20.1,8.7
2017-11-16,20.7,9.9
2017-11-17,21.3,13.0
2017-11-18,22.1,13.9
2017-11-19,20.8,11.6
2017-11-20,20.1,12.9
2017-11-21,24.0,10.8
2017-11-22,23.9,13.3
2017-11-23,22.8,10.8
2017-11-24,25.0,12.4
2017-11-25,24.9,13.4
2017-11-26,22.5,16.0
2017-11-27,22.6,14.4
2017-11-28,23.4,15.7
2017-11-29,23.6,13.4
2017-11-30,24.2,14.8
2017-12-01,24.1,13.8
2017-12-02,23.8,12.6
2017-12-03,23.7,12.3
2017-12-04,25.5,12.9
2017-12-05,26.7,15.9
2017-12-06,25.7,15.4
2017-12-07,26.0,14.8
2017-12-08,25.2,17.3
2017-12-09,25.8,17.5
2017-12-10,25.3,15.7
2017-12-11,25.5,17.9
2017-12-12,27.9,17.8
2017-12-13,25.2,16.8
2017-12-14,25.0,15.3
2017-12-15,25.7,16.4
2017-12-16,25.2,13.8
2017-12-17,25.7,17.0
2017-12-18,26.5,15.3
2017-12-19,24.0,13.8
2017-12-20,23.6,17.7
2017-12-21,21.9,14.0
2017-12-22,24.3,16.0
2017-12-23,26.1,18.1
2017-12-24,24.9,18.1
2017-12-25,25.0,16.8
2017-12-26,25.1,17.4
2017-12-27,23.2,15.2
2017-12-28,23.8,12.1
2017-12-29,20.9,14.8
2017-12-30,23.9,13.9
2017-12-31,26.5,11.5
2018-01-01,25.2,17.8
2018-01-02,25.0,16.5
2018-01-03,27.1,17.3
2018-01-04,26.8,20.8
2018-01-05,22.0,18.8
2018-01-06,21.8,18.0
2018-01-07,22.6,17.5
2018-01-08,23.8,15.2
2018-01-09,24.4,13.3
2018-01-10,27.4,15.7
2018-01-11,26.5,16.3
2018-01-12,26.6,16.8
2018-01-13,29.1,20.4
2018-01-14,26.3,19.9
2018-01-15,26.8,20.0
2018-01-16,26.8,20.0
2018-01-17,25.7,19.4
2018-01-18,24.8,19.4
2018-01-19,21.2,19.0
2018-01-20,26.3,20.2
2018-01-21,26.7,20.0
2018-01-22,27.1,18.8
2018-01-23,25.3,18.6
2018-01-24,27.4,17.7
2018-01-25,27.0,18.1
2018-01-26,27.0,20.7
2018-01-27,28.4,17.6
2018-01-28,28.0,17.9
2018-01-29,28.8,19.6
2018-01-30,28.1,18.9
2018-01-31,27.3,20.0
2018-02-01,26.8,21.2
2018-02-02,22.6,16.0
2018-02-03,24.0,13.7
2018-02-04,22.9,14.6
2018-02-05,23.2,15.8
2018-02-06,25.8,12.4
2018-02-07,24.3,15.1
2018-02-08,25.5,14.7
2018-02-09,22.8,15.0
2018-02-10,21.4,15.9
2018-02-11,22.7,21.2
2018-02-12,23.2,19.5
2018-02-13,27.6,22.1
2018-02-14,23.9,21.0
2018-02-15,26.6,18.4
2018-02-16,26.6,14.2
2018-02-17,29.1,17.6
2018-02-18,26.8,18.2
2018-02-19,27.7,21.1
2018-02-20,28.0,21.3
2018-02-21,26.9,17.9
2018-02-22,24.2,15.7
2018-02-23,23.0,13.1
2018-02-24,24.4,12.4
2018-02-25,24.7,12.0
2018-02-26,27.1,13.9
2018-02-27,25.2,18.6
2018-02-28,25.5,19.6
2018-03-01,23.8,18.8
2018-03-02,25.1,19.0
2018-03-03,26.0,18.9
2018-03-04,26.6,19.6
2018-03-05,27.4,15.7
2018-03-06,28.5,15.5
2018-03-07,28.5,19.4
2018-03-08,26.5,14.5
2018-03-09,22.6,14.9
2018-03-10,26.6,12.5
2018-03-11,25.4,14.3
2018-03-12,23.6,15.2
2018-03-13,18.4,15.6
2018-03-14,23.4,14.4
2018-03-15,22.8,10.7
2018-03-16,22.2,12.0
2018-03-17,24.2,12.8
2018-03-18,23.9,15.7
2018-03-19,24.4,14.7
2018-03-20,24.9,13.8
2018-03-21,25.8,13.3
2018-03-22,25.5,12.7
2018-03-23,24.6,16.3
