Date(NZST),Tmax(C),Tmin(C)
2019-07-14,17.2,10.2
2019-07-15,15.8,6.9
2019-07-16,15.1,9.4
2019-07-17,15.2,8.4
2019-07-18,15.0,4.3
2019-07-19,16.2,6.0
2019-07-20,13.7,6.3
2019-07-21,15.3,3.8
2019-07-22,15.0,2.5
2019-07-23,15.4,4.0
2019-07-24,14.9,3.0
2019-07-25,14.5,2.4
2019-07-26,14.9,5.4
2019-07-27,15.6,8.7
2019-07-28,16.3,5.7
2019-07-29,16.1,7.3
2019-07-30,17.0,9.4
2019-07-31,16.4,6.1
2019-08-01,12.6,1.8
2019-08-02,12.1,5.6
2019-08-03,14.9,7.5
2019-08-04,13.3,9.4
2019-08-05,14.7,6.2
2019-08-06,11.5,5.9
2019-08-07,14.2,4.0
2019-08-08,15.4,8.2
2019-08-09,15.2,9.7
2019-08-10,14.3,10.0
2019-08-11,17.6,10.9
2019-08-12,18.3,9.6
2019-08-13,15.9,8.5
2019-08-14,14.9,8.7
2019-08-15,14.8,4.6
2019-08-16,13.3,6.4
2019-08-17,14.4,6.8
2019-08-18,15.5,7.9
2019-08-19,9.0,1.8
2019-08-20,12.6,6.4
2019-08-21,14.0,9.1
2019-08-22,14.1,9.1
2019-08-23,14.2,9.0
2019-08-24,12.1,4.8
2019-08-25,14.4,10.2
2019-08-26,15.5,10.7
2019-08-27,15.9,7.5
2019-08-28,14.5,4.7
2019-08-29,15.1,3.9
2019-08-30,15.3,3.4
2019-08-31,15.5,9.1
2019-09-01,14.1,2.8
2019-09-02,15.1,4.7
2019-09-03,16.2,9.3
2019-09-04,15.5,12.7
2019-09-05,17.2,12.7
2019-09-06,16.9,9.6
2019-09-07,14.3,6.5
2019-09-08,15.9,7.7
2019-09-09,16.9,7.8
2019-09-10,16.5,9.4
2019-09-11,14.1,6.2
2019-09-12,14.8,9.6
2019-09-13,16.8,10.8
2019-09-14,16.8,11.4
2019-09-15,18.0,5.9
2019-09-16,18.3,6.6
2019-09-17,17.4,12.3
2019-09-18,18.5,11.1
2019-09-19,16.8,9.4
2019-09-20,15.7,4.9
2019-09-21,16.9,5.1
2019-09-22,17.8,6.2
2019-09-23,16.3,10.0
2019-09-24,18.1,12.7
2019-09-25,16.3,9.0
2019-09-26,16.3,8.5
2019-09-27,14.6,10.2
2019-09-28,17.4,10.0
2019-09-29,17.6,6.9
2019-09-30,19.2,12.2
2019-10-01,18.6,11.1
2019-10-02,15.7,8.4
2019-10-03,15.3,7.4
2019-10-04,14.9,8.1
2019-10-05,16.8,8.2
2019-10-06,17.5,10.6
2019-10-07,17.8,11.7
2019-10-08,17.3,11.0
2019-10-09,18.8,8.2
2019-10-10,20.2,13.2
2019-10-11,19.9,15.1
2019-10-12,18.9,13.1
2019-10-13,19.3,6.1
2019-10-14,19.5,9.9
2019-10-15,15.5,12.4
2019-10-16,18.6,12.1
2019-10-17,17.9,12.3
2019-10-18,18.1,11.5
2019-10-19,20.2,14.1
2019-10-20,19.1,12.7
2019-10-21,19.2,8.8
2019-10-22,18.9,12.6
2019-10-23,18.2,8.7
2019-10-24,15.4,10.1
2019-10-25,16.7,11.6
2019-10-26,16.7,10.8
2019-10-27,18.9,8.9
2019-10-28,22.0,13.1
2019-10-29,21.9,12.6
2019-10-30,17.7,10.8
2019-10-31,17.5,13.5
2019-11-01,18.9,11.8
2019-11-02,17.3,10.9
2019-11-03,18.4,9.9
2019-11-04,21.9,10.4
2019-11-05,23.6,12.4
2019-11-06,26.8,10.6
2019-11-07,24.8,15.6
2019-11-08,23.4,14.1
2019-11-09,23.5,17.7
2019-11-10,22.0,17.6
2019-11-11,22.0,13.8
2019-11-12,18.3,10.2
2019-11-13,17.3,7.9
2019-11-14,19.8,13.5
2019-11-15,20.6,13.1
2019-11-16,19.5,12.2
2019-11-17,22.0,13.2
2019-11-18,22.3,17.2
2019-11-19,21.7,8.3
2019-11-20,18.5,7.8
2019-11-21,20.5,12.9
2019-11-22,18.5,9.2
2019-11-23,19.4,14.3
2019-11-24,20.9,14.8
2019-11-25,20.0,15.1
2019-11-26,21.5,12.3
2019-11-27,24.4,11.8
2019-11-28,24.4,14.8
2019-11-29,23.7,16.1
2019-11-30,24.4,14.7
2019-12-01,24.2,17.6
2019-12-02,24.0,16.6
2019-12-03,23.9,19.1
2019-12-04,24.7,16.1
2019-12-05,25.6,12.1
2019-12-06,26.4,14.8
2019-12-07,24.3,17.6
2019-12-08,26.1,18.4
2019-12-09,25.3,15.2
2019-12-10,20.9,14.0
2019-12-11,23.1,10.5
2019-12-12,23.7,13.1
2019-12-13,26.0,13.9
2019-12-14,23.4,17.9
2019-12-15,23.0,11.9
2019-12-16,23.8,17.6
2019-12-17,24.5,19.1
2019-12-18,21.4,14.4
2019-12-19,20.4,12.9
2019-12-20,21.3,15.1
2019-12-21,22.0,10.1
2019-12-22,20.8,10.5
2019-12-23,21.2,15.4
2019-12-24,21.0,15.7
2019-12-25,23.4,14.6
2019-12-26,22.6,11.3
2019-12-27,22.8,12.3
2019-12-28,21.7,12.0
2019-12-29,20.9,11.9
2019-12-30,21.0,11.8
2019-12-31,21.3,16.7
2020-01-01,25.3,13.2
2020-01-02,23.2,16.0
2020-01-03,22.8,16.9
2020-01-04,23.2,16.0
2020-01-05,20.8,14.6
2020-01-06,20.0,14.8
2020-01-07,20.8,14.6
2020-01-08,19.9,12.5
2020-01-09,20.7,11.9
2020-01-10,21.4,13.2
2020-01-11,21.5,10.7
2020-01-12,24.1,10.0
2020-01-13,26.6,10.6
2020-01-14,25.5,14.8
2020-01-15,22.0,14.7
2020-01-16,24.2,13.7
2020-01-17,23.1,14.8
2020-01-18,24.6,11.6
2020-01-19,24.9,13.0
2020-01-20,27.3,13.7
2020-01-21,29.2,16.4
2020-01-22,24.8,14.8
2020-01-23,23.6,12.8
2020-01-24,25.9,19.5
2020-01-25,28.1,15.7
2020-01-26,25.6,19.5
2020-01-27,25.9,18.7
2020-01-28,26.9,15.6
2020-01-29,25.7,18.8
2020-01-30,27.2,17.7
2020-01-31,27.7,17.7
2020-02-01,26.9,16.4
2020-02-02,26.9,17.5
2020-02-03,27.3,17.8
2020-02-04,29.4,16.9
2020-02-05,29.0,18.4
2020-02-06,23.4,12.4
2020-02-07,22.9,17.4
2020-02-08,27.6,14.3
2020-02-09,26.1,16.1
2020-02-10,22.5,10.1
2020-02-11,23.7,11.2
2020-02-12,25.0,11.5
2020-02-13,27.7,12.8
2020-02-14,26.2,13.6
2020-02-15,28.6,18.8
2020-02-16,25.3,20.1
2020-02-17,25.8,20.0
2020-02-18,26.9,17.9
2020-02-19,28.0,19.2
2020-02-20,28.3,15.9
2020-02-21,28.9,15.5
2020-02-22,28.2,19.8
2020-02-23,23.8,13.6
2020-02-24,22.5,14.8
2020-02-25,25.8,11.6
2020-02-26,26.1,13.0
2020-02-27,28.1,17.0
2020-02-28,28.3,15.9
2020-02-29,28.0,16.7
2020-03-01,27.2,14.3
2020-03-02,26.9,19.4
2020-03-03,24.7,20.0
2020-03-04,26.2,20.4
2020-03-05,25.6,17.7
2020-03-06,25.2,13.3
2020-03-07,24.5,15.2
2020-03-08,25.1,12.7
2020-03-09,24.7,18.4
2020-03-10,25.1,16.6
2020-03-11,23.6,14.0
2020-03-12,23.0,13.0
2020-03-13,24.0,10.6
2020-03-14,23.6,11.9
2020-03-15,25.1,11.0
2020-03-16,25.5,12.3
2020-03-17,21.5,15.5
2020-03-18,23.9,7.3
2020-03-19,22.0,8.4
2020-03-20,21.9,13.3
2020-03-21,22.5,13.1
2020-03-22,24.5,15.3
2020-03-23,25.3,18.2
2020-03-24,22.7,15.2
2020-03-25,19.2,11.3
2020-03-26,21.1,9.1
2020-03-27,21.7,11.1
2020-03-28,21.0,10.5
2020-03-29,19.3,11.7
2020-03-30,22.7,11.7
2020-03-31,23.4,9.8
2020-04-01,24.5,10.1
2020-04-02,25.5,8.8
2020-04-03,23.7,10.6
2020-04-04,23.5,9.5
2020-04-05,22.9,13.8
2020-04-06,23.0,10.9
2020-04-07,22.0,10.1
2020-04-08,22.7,12.0
2020-04-09,21.9,14.2
2020-04-10,19.7,8.0
2020-04-11,20.0,6.8
2020-04-12,20.9,7.5
2020-04-13,22.9,15.5
2020-04-14,21.2,13.8
2020-04-15,18.2,13.1
2020-04-16,19.2,11.2
2020-04-17,20.2,13.0
2020-04-18,22.3,16.2
2020-04-19,22.7,14.3
2020-04-20,22.0,13.5
2020-04-21,20.8,12.9
2020-04-22,19.0,6.4
2020-04-23,20.6,11.5
2020-04-24,22.0,13.3
2020-04-25,21.7,9.9
2020-04-26,20.7,8.8
2020-04-27,20.5,5.4
2020-04-28,21.4,12.6
2020-04-29,19.5,7.1
2020-04-30,21.3,7.7
2020-05-01,21.0,8.5
2020-05-02,19.7,14.1
2020-05-03,21.3,17.3
2020-05-04,20.1,12.8
2020-05-05,20.7,11.9
2020-05-06,18.4,8.7
2020-05-07,15.8,3.9
2020-05-08,18.8,8.7
2020-05-09,19.6,5.7
2020-05-10,19.3,8.5
2020-05-11,21.5,12.4
2020-05-12,18.8,13.9
2020-05-13,18.9,11.3
2020-05-14,18.5,9.7
2020-05-15,18.7,7.7
2020-05-16,18.0,9.6
2020-05-17,20.1,6.6
2020-05-18,20.3,7.8
2020-05-19,17.9,5.8
2020-05-20,17.4,3.6
2020-05-21,15.6,3.4
2020-05-22,17.7,6.8
2020-05-23,17.3,2.6
2020-05-24,16.5,7.2
2020-05-25,18.2,16.3
2020-05-26,19.1,14.0
2020-05-27,19.6,13.9
2020-05-28,15.7,9.2
2020-05-29,17.9,11.6
2020-05-30,16.2,10.6
2020-05-31,19.5,11.3
2020-06-01,16.5,12.8
2020-06-02,19.4,13.6
2020-06-03,18.5,5.8
2020-06-04,18.1,9.8
2020-06-05,19.0,8.6
2020-06-06,17.5,10.6
2020-06-07,16.8,6.9
2020-06-08,15.6,4.7
2020-06-09,16.3,4.5
2020-06-10,16.9,4.6
2020-06-11,16.4,7.5
2020-06-12,17.4,7.2
2020-06-13,17.0,6.8
2020-06-14,17.2,11.3
2020-06-15,16.9,5.5
2020-06-16,16.9,9.1
2020-06-17,17.2,9.2
2020-06-18,18.5,9.9
2020-06-19,16.2,7.7
2020-06-20,16.8,7.2
2020-06-21,18.0,11.2
2020-06-22,16.8,11.2
2020-06-23,19.6,8.5
2020-06-24,18.2,13.3
2020-06-25,17.7,10.9
2020-06-26,18.6,8.7
2020-06-27,18.1,13.9
2020-06-28,19.4,9.9
2020-06-29,16.1,8.5
2020-06-30,16.0,9.0
2020-07-01,15.1,6.5
2020-07-02,13.6,3.4
2020-07-03,14.7,0.5
2020-07-04,14.5,4.4
2020-07-05,15.0,8.4
2020-07-06,17.1,8.6
2020-07-07,13.6,7.8
2020-07-08,15.4,9.8
2020-07-09,12.1,6.5
2020-07-10,14.1,0.1
2020-07-11,15.1,3.9
2020-07-12,14.7,3.4
2020-07-13,16.4,7.5
2020-07-14,19.0,10.2
2020-07-15,15.8,11.1
2020-07-16,14.9,12.2
2020-07-17,16.2,7.3
2020-07-18,16.9,11.4
2020-07-19,19.2,12.2
2020-07-20,17.8,8.2
2020-07-21,18.6,10.6
2020-07-22,16.7,6.8
2020-07-23,14.1,9.4
2020-07-24,16.8,11.1
2020-07-25,15.6,4.9
2020-07-26,14.8,4.0
2020-07-27,16.0,3.5
2020-07-28,16.5,5.8
2020-07-29,17.6,7.6
2020-07-30,17.5,8.6
2020-07-31,15.5,12.9
2020-08-01,16.4,11.6
2020-08-02,15.9,12.2
2020-08-03,16.1,9.2
2020-08-04,17.6,6.2
2020-08-05,18.3,3.7
2020-08-06,18.0,8.4
2020-08-07,17.5,12.1
2020-08-08,18.5,9.2
2020-08-09,14.7,3.6
2020-08-10,15.9,6.4
2020-08-11,15.6,7.2
2020-08-12,16.5,11.2
2020-08-13,18.6,4.6
2020-08-14,16.3,5.2
2020-08-15,15.3,3.1
2020-08-16,16.1,-0.1
2020-08-17,14.9,3.0
2020-08-18,15.4,9.9
2020-08-19,15.7,12.9
2020-08-20,17.0,11.9
2020-08-21,19.3,11.6
2020-08-22,18.2,7.8
2020-08-23,19.1,10.6
2020-08-24,18.6,10.5
2020-08-25,16.3,10.0
2020-08-26,15.4,8.2
2020-08-27,15.0,5.2
2020-08-28,16.2,5.6
2020-08-29,17.0,4.5
2020-08-30,19.2,4.9
2020-08-31,19.1,8.3
2020-09-01,17.2,11.1
2020-09-02,19.4,7.3
2020-09-03,14.7,5.9
2020-09-04,13.7,0.7
2020-09-05,15.7,7.4
2020-09-06,17.3,8.9
2020-09-07,17.4,11.9
2020-09-08,16.1,2.6
2020-09-09,16.8,3.0
2020-09-10,15.8,10.6
2020-09-11,16.5,6.0
2020-09-12,15.6,6.0
2020-09-13,15.1,7.8
2020-09-14,16.8,12.0
2020-09-15,16.7,12.1
2020-09-16,17.7,11.8
2020-09-17,17.5,5.8
2020-09-18,18.7,12.1
2020-09-19,15.4,11.0
2020-09-20,16.3,4.5
2020-09-21,17.1,7.6
2020-09-22,18.0,4.5
2020-09-23,18.5,7.0
2020-09-24,20.3,14.8
2020-09-25,20.0,13.6
2020-09-26,20.6,8.8
2020-09-27,20.1,14.6
2020-09-28,19.1,11.8
2020-09-29,16.8,11.6
2020-09-30,15.7,8.3
2020-10-01,15.6,3.8
2020-10-02,18.2,3.8
2020-10-03,17.4,4.1
2020-10-04,19.9,5.3
2020-10-05,20.2,11.8
2020-10-06,21.8,10.7
2020-10-07,18.6,10.8
2020-10-08,19.4,11.1
2020-10-09,19.0,12.7
2020-10-10,17.3,13.4
2020-10-11,18.4,13.4
2020-10-12,19.6,15.0
2020-10-13,17.8,15.5
2020-10-14,17.3,7.5
2020-10-15,18.2,7.6
2020-10-16,16.2,7.7
2020-10-17,17.4,3.4
2020-10-18,17.1,5.2
2020-10-19,19.1,13.1
2020-10-20,20.2,15.1
2020-10-21,20.5,15.6
2020-10-22,22.0,12.0
2020-10-23,22.3,11.4
2020-10-24,20.8,14.3
2020-10-25,22.1,16.3
2020-10-26,22.0,12.8
2020-10-27,22.7,11.1
2020-10-28,23.7,12.8
2020-10-29,21.2,15.6
2020-10-30,21.8,16.2
2020-10-31,21.2,16.3
2020-11-01,23.4,13.9
2020-11-02,22.2,9.8
2020-11-03,23.0,17.5
2020-11-04,21.4,18.5
2020-11-05,21.5,17.1
2020-11-06,19.2,16.0
2020-11-07,22.3,13.7
2020-11-08,23.2,16.9
2020-11-09,22.1,10.5
2020-11-10,19.9,11.2
2020-11-11,18.4,10.3
2020-11-12,18.7,10.6
2020-11-13,20.6,8.4
2020-11-14,21.4,11.2
2020-11-15,23.2,9.7
2020-11-16,22.2,9.1
2020-11-17,23.7,10.9
2020-11-18,22.0,15.5
2020-11-19,21.4,13.6
2020-11-20,19.5,9.4
2020-11-21,21.0,10.6
2020-11-22,21.1,15.0
2020-11-23,19.1,9.1
2020-11-24,19.3,11.1
2020-11-25,20.1,13.3
2020-11-26,23.9,16.4
2020-11-27,22.0,14.0
2020-11-28,21.3,13.8
2020-11-29,19.8,9.4
2020-11-30,21.3,12.1
2020-12-01,22.8,15.4
2020-12-02,20.3,9.0
2020-12-03,21.6,15.6
2020-12-04,20.2,12.2
2020-12-05,19.6,14.0
2020-12-06,20.9,14.3
2020-12-07,23.1,15.8
2020-12-08,24.9,18.5
2020-12-09,25.8,15.3
2020-12-10,26.2,19.1
2020-12-11,23.7,15.5
2020-12-12,22.2,13.1
2020-12-13,20.5,14.4
2020-12-14,20.0,12.3
2020-12-15,24.6,10.6
2020-12-16,25.2,12.2
2020-12-17,21.0,14.9
2020-12-18,20.4,12.7
2020-12-19,24.1,17.4
2020-12-20,25.0,14.6
2020-12-21,25.2,14.1
2020-12-22,24.9,18.4
2020-12-23,23.6,15.9
2020-12-24,24.3,18.5
2020-12-25,22.9,15.9
2020-12-26,21.3,12.0
2020-12-27,20.9,11.8
2020-12-28,20.1,10.4
2020-12-29,19.4,12.3
2020-12-30,21.1,14.5
2020-12-31,22.2,13.6
2021-01-01,24.4,10.9
