Date,CO,NO,NO2,NOx,PM10
2019-09-01,0.15416666666666665,0.0,0.0,0.0,0.0
2019-09-02,0.3345833333333333,0.0,0.0,0.0,0.0
2019-09-03,0.09333333333333334,9.296677,15.762395999999999,25.059072999999998,0.0
2019-09-04,0.07708333333333332,6.787565652173913,11.916772173913044,18.704337826086952,0.0
2019-09-05,0.16166666666666668,16.0512625,18.492846666666665,34.544109166666665,0.0
2019-09-06,0.30416666666666664,41.99336869565218,41.39435130434782,83.38771999999999,0.0
2019-09-07,0.25166666666666665,27.110844583333336,32.80152416666666,59.91236874999999,0.0
2019-09-08,0.21791666666666665,18.566690434782608,29.59099565217391,48.15768608695652,0.0
2019-09-09,0.1433333333333333,17.032079999999997,23.636404999999996,40.668485,0.0
2019-09-10,0.13083333333333333,17.85061652173913,21.99744695652174,39.848063478260876,0.0
2019-09-11,0.3229166666666667,51.91805125,44.00267083333333,95.92072208333333,0.0
2019-09-12,0.2754166666666667,48.28899739130436,43.39834086956521,91.68733826086955,0.0
2019-09-13,0.3475,52.79621208333333,46.45720083333331,99.25341291666666,0.0
2019-09-14,0.05583333333333335,10.766142173913044,20.852565217391305,31.618707391304355,0.0
2019-09-15,0.2529166666666666,32.272131666666674,35.09858083333333,67.3707125,0.0
2019-09-16,0.2820833333333333,50.37085130434782,43.55730260869564,93.92815391304349,0.0
2019-09-17,0.3116666666666667,38.462775,38.80262750000001,77.2654025,0.0
2019-09-18,0.2783333333333333,56.72247454545454,47.06927727272728,103.79175181818182,0.0
2019-09-19,0.2379166666666667,50.9188225,42.920897499999995,93.83972,0.0
2019-09-20,0.3491666666666666,67.32433782608696,52.35645999999999,119.68079782608694,15.9
2019-09-21,0.18375,39.05026125,41.739847499999996,80.79010874999999,12.275
2019-09-22,0.15583333333333332,21.07586,23.660293913043475,44.73615391304347,10.370833333333332
2019-09-23,0.2720833333333333,41.073267083333334,42.39370416666666,83.46697124999999,10.245833333333335
2019-09-24,0.21583333333333335,27.295806086956517,32.352286086956525,59.64809217391305,10.333333333333334
2019-09-25,0.2670833333333333,35.70387708333333,36.06652833333333,71.77040541666666,14.570833333333338
2019-09-26,0.19125000000000003,22.14764217391304,24.80338956521739,46.95103173913043,15.954166666666666
2019-09-27,0.3025,36.778982500000005,36.51327333333332,73.29225583333331,13.079166666666666
2019-09-28,0.3158333333333334,35.98882695652174,34.933181739130426,70.92200869565217,9.804166666666665
2019-09-29,0.26958333333333323,25.91578708333334,30.998283333333333,56.914070416666654,8.520833333333334
2019-09-30,0.20249999999999999,20.40403130434783,31.245805217391304,51.64983652173914,14.595833333333333
2019-10-01,0.29083333333333333,43.89967291666667,44.75238083333332,88.65205375000001,12.945833333333335
2019-10-02,0.19624999999999995,25.72277217391304,27.471803478260867,53.19457565217391,14.458333333333334
2019-10-03,0.36625,54.85157708333333,46.41440916666665,101.26598625000001,14.916666666666666
2019-10-04,0.3720833333333333,58.76688409090911,48.38010272727272,107.14698681818182,10.083333333333332
2019-10-05,0.25125000000000003,25.531940416666668,31.947402499999995,57.479342916666674,11.029166666666669
2019-10-06,0.13208333333333333,18.03691217391304,22.15462260869565,40.191534782608706,10.249999999999998
2019-10-07,0.04958333333333334,6.2949737500000005,14.892355833333331,21.18732958333333,10.408333333333331
2019-10-08,0.3445833333333333,58.079998260869566,50.20154608695651,108.28154434782608,9.825000000000001
2019-10-09,0.12166666666666663,26.266158749999992,27.718729999999997,53.98488875,9.029166666666667
2019-10-10,0.050416666666666665,7.31443304347826,14.759329565217389,22.07376260869565,14.475000000000001
2019-10-11,0.2816666666666667,40.11922958333333,39.453060833333325,79.57229041666666,11.083333333333334
2019-10-12,0.2529166666666666,36.58206217391304,33.2837304347826,69.86579260869566,11.27083333333333
2019-10-13,0.19583333333333333,21.62708166666667,25.276181666666663,46.90326333333332,6.516666666666667
2019-10-14,0.055833333333333346,7.721954782608696,12.318641739130435,20.040596521739133,8.366666666666667
2019-10-15,0.1525,17.340607916666666,24.502508333333328,41.84311625,7.549999999999998
2019-10-16,0.19500000000000003,27.292895217391308,25.47049304347826,52.763388260869576,13.799999999999997
2019-10-17,0.2841666666666666,39.426854999999996,38.146203333333325,77.57305833333332,13.979166666666666
2019-10-18,0.18374999999999997,33.176344782608695,34.891208695652175,68.06755347826088,12.229166666666666
2019-10-19,0.21541666666666673,17.955990000000003,24.140490833333327,42.09648083333333,16.983333333333334
2019-10-20,0.225,26.980849999999997,30.299179130434784,57.28002913043479,14.999999999999998
2019-10-21,0.2579166666666667,38.77743999999999,37.515454166666665,76.29289416666666,14.324999999999998
2019-10-22,0.2479166666666666,30.858710434782598,29.29539826086957,60.15410869565217,11.754166666666665
2019-10-23,0.205,30.08119291666667,26.966452500000003,57.04764541666668,15.437499999999995
2019-10-24,0.22666666666666668,30.142636521739128,30.43581478260869,60.578451304347816,19.408333333333328
2019-10-25,0.20249999999999999,30.77133583333333,29.99695833333334,60.76829416666664,21.387500000000003
2019-10-26,0.17166666666666666,20.94021347826087,21.689346956521735,42.629560434782604,18.904166666666665
2019-10-27,0.17625,21.0256475,23.29663916666667,44.32228666666666,9.812500000000002
2019-10-28,0.16666666666666666,18.496829565217386,20.100622608695648,38.59745217391304,10.170833333333334
2019-10-29,0.2516666666666666,42.628738750000004,36.119589999999995,78.74832875,10.887500000000001
2019-10-30,0.21791666666666665,33.468596086956516,29.68476521739131,63.15336130434781,14.070833333333333
2019-10-31,0.2191666666666667,30.971627916666666,31.731732500000003,62.703360416666676,22.099999999999998
